% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 4.769e-10, 3.27e-23, 4.705e-24, -2.337e-09 ;
-10, -9.9, 0, 4.827e-10, 3.284e-23, 3.961e-24, -2.341e-09 ;
-10, -9.8, 0, 4.882e-10, 3.291e-23, 3.15e-24, -2.342e-09 ;
-10, -9.7, 0, 4.935e-10, 3.291e-23, 2.272e-24, -2.342e-09 ;
-10, -9.6, 0, 4.984e-10, 3.285e-23, 1.318e-24, -2.34e-09 ;
-10, -9.5, 0, 5.03e-10, 3.268e-23, 2.973e-25, -2.336e-09 ;
-10, -9.4, 0, 5.072e-10, 3.241e-23, -8.401e-25, -2.33e-09 ;
-10, -9.3, 0, 5.111e-10, 3.201e-23, -2.049e-24, -2.322e-09 ;
-10, -9.2, 0, 5.146e-10, 3.148e-23, -3.36e-24, -2.311e-09 ;
-10, -9.1, 0, 5.176e-10, 3.082e-23, -4.769e-24, -2.298e-09 ;
-10, -9, 0, 5.203e-10, 3.003e-23, -6.301e-24, -2.283e-09 ;
-10, -8.9, 0, 5.224e-10, 2.904e-23, -7.936e-24, -2.266e-09 ;
-10, -8.8, 0, 5.241e-10, 2.794e-23, -9.668e-24, -2.246e-09 ;
-10, -8.7, 0, 5.253e-10, 2.661e-23, -1.154e-23, -2.225e-09 ;
-10, -8.6, 0, 5.259e-10, 2.507e-23, -1.355e-23, -2.2e-09 ;
-10, -8.5, 0, 5.26e-10, 2.336e-23, -1.568e-23, -2.174e-09 ;
-10, -8.4, 0, 5.256e-10, 2.142e-23, -1.795e-23, -2.145e-09 ;
-10, -8.3, 0, 5.246e-10, 1.924e-23, -2.034e-23, -2.114e-09 ;
-10, -8.2, 0, 5.23e-10, 1.677e-23, -2.29e-23, -2.08e-09 ;
-10, -8.1, 0, 5.207e-10, 1.406e-23, -2.558e-23, -2.045e-09 ;
-10, -8, 0, 5.179e-10, 1.105e-23, -2.842e-23, -2.007e-09 ;
-10, -7.9, 0, 5.144e-10, 7.738e-24, -3.141e-23, -1.967e-09 ;
-10, -7.8, 0, 5.102e-10, 4.144e-24, -3.455e-23, -1.924e-09 ;
-10, -7.7, 0, 5.054e-10, 1.691e-25, -3.784e-23, -1.88e-09 ;
-10, -7.6, 0, 5e-10, -4.092e-24, -4.126e-23, -1.834e-09 ;
-10, -7.5, 0, 4.938e-10, -8.726e-24, -4.483e-23, -1.786e-09 ;
-10, -7.4, 0, 4.87e-10, -1.369e-23, -4.852e-23, -1.736e-09 ;
-10, -7.3, 0, 4.795e-10, -1.904e-23, -5.235e-23, -1.685e-09 ;
-10, -7.2, 0, 4.714e-10, -2.476e-23, -5.63e-23, -1.631e-09 ;
-10, -7.1, 0, 4.626e-10, -3.085e-23, -6.036e-23, -1.577e-09 ;
-10, -7, 0, 4.531e-10, -3.732e-23, -6.451e-23, -1.521e-09 ;
-10, -6.9, 0, 4.43e-10, -4.416e-23, -6.876e-23, -1.464e-09 ;
-10, -6.8, 0, 4.323e-10, -5.14e-23, -7.306e-23, -1.406e-09 ;
-10, -6.7, 0, 4.21e-10, -5.896e-23, -7.741e-23, -1.348e-09 ;
-10, -6.6, 0, 4.091e-10, -6.692e-23, -8.182e-23, -1.288e-09 ;
-10, -6.5, 0, 3.967e-10, -7.519e-23, -8.62e-23, -1.228e-09 ;
-10, -6.4, 0, 3.838e-10, -8.378e-23, -9.06e-23, -1.168e-09 ;
-10, -6.3, 0, 3.704e-10, -9.269e-23, -9.496e-23, -1.108e-09 ;
-10, -6.2, 0, 3.567e-10, -1.019e-22, -9.926e-23, -1.048e-09 ;
-10, -6.1, 0, 3.425e-10, -1.113e-22, -1.034e-22, -9.884e-10 ;
-10, -6, 0, 3.28e-10, -1.209e-22, -1.075e-22, -9.293e-10 ;
-10, -5.9, 0, 3.132e-10, -1.307e-22, -1.115e-22, -8.709e-10 ;
-10, -5.8, 0, 2.982e-10, -1.407e-22, -1.152e-22, -8.134e-10 ;
-10, -5.7, 0, 2.83e-10, -1.506e-22, -1.188e-22, -7.57e-10 ;
-10, -5.6, 0, 2.678e-10, -1.607e-22, -1.221e-22, -7.02e-10 ;
-10, -5.5, 0, 2.525e-10, -1.707e-22, -1.251e-22, -6.484e-10 ;
-10, -5.4, 0, 2.372e-10, -1.805e-22, -1.279e-22, -5.965e-10 ;
-10, -5.3, 0, 2.22e-10, -1.903e-22, -1.303e-22, -5.465e-10 ;
-10, -5.2, 0, 2.07e-10, -1.998e-22, -1.324e-22, -4.983e-10 ;
-10, -5.1, 0, 1.921e-10, -2.09e-22, -1.341e-22, -4.523e-10 ;
-10, -5, 0, 1.776e-10, -2.178e-22, -1.354e-22, -4.085e-10 ;
-10, -4.9, 0, 1.634e-10, -2.262e-22, -1.363e-22, -3.67e-10 ;
-10, -4.8, 0, 1.496e-10, -2.341e-22, -1.367e-22, -3.279e-10 ;
-10, -4.7, 0, 1.362e-10, -2.413e-22, -1.368e-22, -2.912e-10 ;
-10, -4.6, 0, 1.234e-10, -2.479e-22, -1.363e-22, -2.57e-10 ;
-10, -4.5, 0, 1.111e-10, -2.538e-22, -1.354e-22, -2.253e-10 ;
-10, -4.4, 0, 9.937e-11, -2.589e-22, -1.341e-22, -1.961e-10 ;
