% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 2.051e-09, 0, 0, 0 ;
-10, -9.8, 0, 2.39e-09, 0, 0, 0 ;
-10, -9.6, 0, 2.778e-09, 0, 0, 0 ;
-10, -9.4, 0, 3.221e-09, 0, 0, 0 ;
-10, -9.2, 0, 3.726e-09, 0, 0, 0 ;
-10, -9, 0, 4.301e-09, 0, 0, 0 ;
-10, -8.8, 0, 4.954e-09, 0, 0, 0 ;
-10, -8.6, 0, 5.693e-09, 0, 0, 0 ;
-10, -8.4, 0, 6.529e-09, 0, 0, 0 ;
-10, -8.2, 0, 7.471e-09, 0, 0, 0 ;
-10, -8, 0, 8.533e-09, 0, 0, 0 ;
-10, -7.8, 0, 9.727e-09, 0, 0, 0 ;
-10, -7.6, 0, 1.107e-08, 0, 0, 0 ;
-10, -7.4, 0, 1.257e-08, 0, 0, 0 ;
-10, -7.2, 0, 1.424e-08, 0, 0, 0 ;
-10, -7, 0, 1.611e-08, 0, 0, 0 ;
-10, -6.8, 0, 1.82e-08, 0, 0, 0 ;
-10, -6.6, 0, 2.051e-08, 0, 0, 0 ;
-10, -6.4, 0, 2.307e-08, 0, 0, 0 ;
-10, -6.2, 0, 2.591e-08, 0, 0, 0 ;
-10, -6, 0, 2.903e-08, 0, 0, 0 ;
-10, -5.8, 0, 3.247e-08, 0, 0, 0 ;
-10, -5.6, 0, 3.624e-08, 0, 0, 0 ;
-10, -5.4, 0, 4.037e-08, 0, 0, 0 ;
-10, -5.2, 0, 4.486e-08, 0, 0, 0 ;
-10, -5, 0, 4.973e-08, 0, 0, 0 ;
-10, -4.8, 0, 5.5e-08, 0, 0, 0 ;
-10, -4.6, 0, 6.067e-08, 0, 0, 0 ;
-10, -4.4, 0, 6.675e-08, 0, 0, 0 ;
-10, -4.2, 0, 7.323e-08, 0, 0, 0 ;
-10, -4, 0, 8.009e-08, 0, 0, 0 ;
-10, -3.8, 0, 8.733e-08, 0, 0, 0 ;
-10, -3.6, 0, 9.491e-08, 0, 0, 0 ;
-10, -3.4, 0, 1.028e-07, 0, 0, 0 ;
-10, -3.2, 0, 1.109e-07, 0, 0, 0 ;
-10, -3, 0, 1.193e-07, 0, 0, 0 ;
-10, -2.8, 0, 1.278e-07, 0, 0, 0 ;
-10, -2.6, 0, 1.363e-07, 0, 0, 0 ;
-10, -2.4, 0, 1.448e-07, 0, 0, 0 ;
-10, -2.2, 0, 1.531e-07, 0, 0, 0 ;
-10, -2, 0, 1.613e-07, 0, 0, 0 ;
-10, -1.8, 0, 1.69e-07, 0, 0, 0 ;
-10, -1.6, 0, 1.764e-07, 0, 0, 0 ;
-10, -1.4, 0, 1.832e-07, 0, 0, 0 ;
-10, -1.2, 0, 1.893e-07, 0, 0, 0 ;
-10, -1, 0, 1.947e-07, 0, 0, 0 ;
-10, -0.8, 0, 1.992e-07, 0, 0, 0 ;
-10, -0.6, 0, 2.028e-07, 0, 0, 0 ;
-10, -0.4, 0, 2.054e-07, 0, 0, 0 ;
-10, -0.2, 0, 2.07e-07, 0, 0, 0 ;
-10, 0, 0, 2.076e-07, -0, 0, 0 ;
-10, 0.2, 0, 2.07e-07, -0, 0, 0 ;
-10, 0.4, 0, 2.054e-07, -0, 0, 0 ;
-10, 0.6, 0, 2.028e-07, -0, 0, 0 ;
-10, 0.8, 0, 1.992e-07, -0, 0, 0 ;
-10, 1, 0, 1.947e-07, -0, 0, 0 ;
-10, 1.2, 0, 1.893e-07, -0, 0, 0 ;
-10, 1.4, 0, 1.832e-07, -0, 0, 0 ;
-10, 1.6, 0, 1.764e-07, -0, 0, 0 ;
-10, 1.8, 0, 1.69e-07, -0, 0, 0 ;
-10, 2, 0, 1.613e-07, -0, 0, 0 ;
-10, 2.2, 0, 1.531e-07, -0, 0, 0 ;
-10, 2.4, 0, 1.448e-07, -0, 0, 0 ;
-10, 2.6, 0, 1.363e-07, -0, 0, 0 ;
-10, 2.8, 0, 1.278e-07, -0, 0, 0 ;
-10, 3, 0, 1.193e-07, -0, 0, 0 ;
-10, 3.2, 0, 1.109e-07, -0, 0, 0 ;
-10, 3.4, 0, 1.028e-07, -0, 0, 0 ;
-10, 3.6, 0, 9.491e-08, -0, 0, 0 ;
-10, 3.8, 0, 8.733e-08, -0, 0, 0 ;
-10, 4, 0, 8.009e-08, -0, 0, 0 ;
-10, 4.2, 0, 7.323e-08, -0, 0, 0 ;
-10, 4.4, 0, 6.675e-08, -0, 0, 0 ;
-10, 4.6, 0, 6.067e-08, -0, 0, 0 ;
-10, 4.8, 0, 5.5e-08, -0, 0, 0 ;
-10, 5, 0, 4.973e-08, -0, 0, 0 ;
-10, 5.2, 0, 4.486e-08, -0, 0, 0 ;
-10, 5.4, 0, 4.037e-08, -0, 0, 0 ;
-10, 5.6, 0, 3.624e-08, -0, 0, 0 ;
-10, 5.8, 0, 3.247e-08, -0, 0, 0 ;
-10, 6, 0, 2.903e-08, -0, 0, 0 ;
-10, 6.2, 0, 2.591e-08, -0, 0, 0 ;
-10, 6.4, 0, 2.307e-08, -0, 0, 0 ;
-10, 6.6, 0, 2.051e-08, -0, 0, 0 ;
-10, 6.8, 0, 1.82e-08, -0, 0, 0 ;
-10, 7, 0, 1.611e-08, -0, 0, 0 ;
-10, 7.2, 0, 1.424e-08, -0, 0, 0 ;
-10, 7.4, 0, 1.257e-08, -0, 0, 0 ;
-10, 7.6, 0, 1.107e-08, -0, 0, 0 ;
-10, 7.8, 0, 9.727e-09, -0, 0, 0 ;
-10, 8, 0, 8.533e-09, -0, 0, 0 ;
-10, 8.2, 0, 7.471e-09, -0, 0, 0 ;
-10, 8.4, 0, 6.529e-09, -0, 0, 0 ;
-10, 8.6, 0, 5.693e-09, -0, 0, 0 ;
-10, 8.8, 0, 4.954e-09, -0, 0, 0 ;
-10, 9, 0, 4.301e-09, -0, 0, 0 ;
-10, 9.2, 0, 3.726e-09, -0, 0, 0 ;
-10, 9.4, 0, 3.221e-09, -0, 0, 0 ;
-10, 9.6, 0, 2.778e-09, -0, 0, 0 ;
-10, 9.8, 0, 2.39e-09, -0, 0, 0 ;
-10, 10, 0, 2.051e-09, -0, 0, 0 ;
-9.798, -10, 0, 2.393e-09, 0, 0, 0 ;
-9.798, -9.8, 0, 2.791e-09, 0, 0, 0 ;
-9.798, -9.6, 0, 3.246e-09, 0, 0, 0 ;
-9.798, -9.4, 0, 3.768e-09, 0, 0, 0 ;
-9.798, -9.2, 0, 4.363e-09, 0, 0, 0 ;
-9.798, -9, 0, 5.041e-09, 0, 0, 0 ;
-9.798, -8.8, 0, 5.813e-09, 0, 0, 0 ;
-9.798, -8.6, 0, 6.689e-09, 0, 0, 0 ;
-9.798, -8.4, 0, 7.682e-09, 0, 0, 0 ;
-9.798, -8.2, 0, 8.805e-09, 0, 0, 0 ;
-9.798, -8, 0, 1.007e-08, 0, 0, 0 ;
-9.798, -7.8, 0, 1.15e-08, 0, 0, 0 ;
-9.798, -7.6, 0, 1.311e-08, 0, 0, 0 ;
-9.798, -7.4, 0, 1.492e-08, 0, 0, 0 ;
-9.798, -7.2, 0, 1.695e-08, 0, 0, 0 ;
-9.798, -7, 0, 1.923e-08, 0, 0, 0 ;
-9.798, -6.8, 0, 2.177e-08, 0, 0, 0 ;
-9.798, -6.6, 0, 2.46e-08, 0, 0, 0 ;
-9.798, -6.4, 0, 2.776e-08, 0, 0, 0 ;
-9.798, -6.2, 0, 3.126e-08, 0, 0, 0 ;
-9.798, -6, 0, 3.514e-08, 0, 0, 0 ;
-9.798, -5.8, 0, 3.942e-08, 0, 0, 0 ;
-9.798, -5.6, 0, 4.414e-08, 0, 0, 0 ;
-9.798, -5.4, 0, 4.933e-08, 0, 0, 0 ;
-9.798, -5.2, 0, 5.5e-08, 0, 0, 0 ;
-9.798, -5, 0, 6.119e-08, 0, 0, 0 ;
-9.798, -4.8, 0, 6.79e-08, 0, 0, 0 ;
-9.798, -4.6, 0, 7.516e-08, 0, 0, 0 ;
-9.798, -4.4, 0, 8.297e-08, 0, 0, 0 ;
-9.798, -4.2, 0, 9.133e-08, 0, 0, 0 ;
-9.798, -4, 0, 1.002e-07, 0, 0, 0 ;
-9.798, -3.8, 0, 1.097e-07, 0, 0, 0 ;
-9.798, -3.6, 0, 1.196e-07, 0, 0, 0 ;
-9.798, -3.4, 0, 1.299e-07, 0, 0, 0 ;
-9.798, -3.2, 0, 1.406e-07, 0, 0, 0 ;
-9.798, -3, 0, 1.516e-07, 0, 0, 0 ;
-9.798, -2.8, 0, 1.629e-07, 0, 0, 0 ;
-9.798, -2.6, 0, 1.742e-07, 0, 0, 0 ;
-9.798, -2.4, 0, 1.855e-07, 0, 0, 0 ;
-9.798, -2.2, 0, 1.967e-07, 0, 0, 0 ;
-9.798, -2, 0, 2.076e-07, 0, 0, 0 ;
-9.798, -1.8, 0, 2.18e-07, 0, 0, 0 ;
-9.798, -1.6, 0, 2.279e-07, 0, 0, 0 ;
-9.798, -1.4, 0, 2.37e-07, 0, 0, 0 ;
-9.798, -1.2, 0, 2.453e-07, 0, 0, 0 ;
-9.798, -1, 0, 2.526e-07, 0, 0, 0 ;
-9.798, -0.8, 0, 2.587e-07, 0, 0, 0 ;
-9.798, -0.6, 0, 2.636e-07, 0, 0, 0 ;
-9.798, -0.4, 0, 2.671e-07, 0, 0, 0 ;
-9.798, -0.2, 0, 2.693e-07, 0, 0, 0 ;
-9.798, 0, 0, 2.7e-07, -0, 0, 0 ;
-9.798, 0.2, 0, 2.693e-07, -0, 0, 0 ;
-9.798, 0.4, 0, 2.671e-07, -0, 0, 0 ;
-9.798, 0.6, 0, 2.636e-07, -0, 0, 0 ;
-9.798, 0.8, 0, 2.587e-07, -0, 0, 0 ;
-9.798, 1, 0, 2.526e-07, -0, 0, 0 ;
-9.798, 1.2, 0, 2.453e-07, -0, 0, 0 ;
-9.798, 1.4, 0, 2.37e-07, -0, 0, 0 ;
-9.798, 1.6, 0, 2.279e-07, -0, 0, 0 ;
-9.798, 1.8, 0, 2.18e-07, -0, 0, 0 ;
-9.798, 2, 0, 2.076e-07, -0, 0, 0 ;
-9.798, 2.2, 0, 1.967e-07, -0, 0, 0 ;
-9.798, 2.4, 0, 1.855e-07, -0, 0, 0 ;
-9.798, 2.6, 0, 1.742e-07, -0, 0, 0 ;
-9.798, 2.8, 0, 1.629e-07, -0, 0, 0 ;
-9.798, 3, 0, 1.516e-07, -0, 0, 0 ;
-9.798, 3.2, 0, 1.406e-07, -0, 0, 0 ;
-9.798, 3.4, 0, 1.299e-07, -0, 0, 0 ;
-9.798, 3.6, 0, 1.196e-07, -0, 0, 0 ;
-9.798, 3.8, 0, 1.097e-07, -0, 0, 0 ;
-9.798, 4, 0, 1.002e-07, -0, 0, 0 ;
-9.798, 4.2, 0, 9.133e-08, -0, 0, 0 ;
-9.798, 4.4, 0, 8.297e-08, -0, 0, 0 ;
-9.798, 4.6, 0, 7.516e-08, -0, 0, 0 ;
