% x, y, z, rho, j_x, j_y, j_z ;
-3, -3, 0, 3.591e-06, -3.572e-22, -2.647e-23, -5.387e-07 ;
-3, -2.94, 0, 4.104e-06, -3.653e-22, 3.309e-23, -6.033e-07 ;
-3, -2.88, 0, 4.691e-06, -3.737e-22, 9.595e-23, -6.755e-07 ;
-3, -2.82, 0, 5.364e-06, -4.128e-22, 1.522e-22, -7.563e-07 ;
-3, -2.76, 0, 6.133e-06, -4.209e-22, 2.184e-22, -8.463e-07 ;
-3, -2.7, 0, 7.011e-06, -4.069e-22, 3.64e-22, -9.465e-07 ;
-3, -2.64, 0, 8.011e-06, -4.332e-22, 4.301e-22, -1.057e-06 ;
-3, -2.58, 0, 9.149e-06, -4.192e-22, 6.088e-22, -1.18e-06 ;
-3, -2.52, 0, 1.044e-05, -4.469e-22, 7.412e-22, -1.315e-06 ;
-3, -2.46, 0, 1.19e-05, -4.056e-22, 9e-22, -1.464e-06 ;
-3, -2.4, 0, 1.355e-05, -4.426e-22, 1.112e-21, -1.626e-06 ;
-3, -2.34, 0, 1.541e-05, -4.17e-22, 1.35e-21, -1.802e-06 ;
-3, -2.28, 0, 1.749e-05, -2.767e-22, 1.641e-21, -1.994e-06 ;
-3, -2.22, 0, 1.982e-05, -2.499e-22, 1.985e-21, -2.2e-06 ;
-3, -2.16, 0, 2.242e-05, -1.444e-22, 2.303e-21, -2.421e-06 ;
-3, -2.1, 0, 2.531e-05, -9.097e-23, 2.7e-21, -2.657e-06 ;
-3, -2.04, 0, 2.851e-05, -8.734e-23, 3.018e-21, -2.908e-06 ;
-3, -1.98, 0, 3.203e-05, -7.061e-23, 3.441e-21, -3.171e-06 ;
-3, -1.92, 0, 3.591e-05, 2.284e-22, 3.997e-21, -3.447e-06 ;
-3, -1.86, 0, 4.015e-05, 2.793e-22, 4.5e-21, -3.734e-06 ;
-3, -1.8, 0, 4.478e-05, 2.08e-22, 4.923e-21, -4.03e-06 ;
-3, -1.74, 0, 4.979e-05, 4.462e-22, 5.559e-21, -4.332e-06 ;
-3, -1.68, 0, 5.521e-05, 6.524e-22, 6.3e-21, -4.638e-06 ;
-3, -1.62, 0, 6.104e-05, 6.651e-22, 6.935e-21, -4.944e-06 ;
-3, -1.56, 0, 6.728e-05, 8.203e-22, 7.623e-21, -5.248e-06 ;
