% x, y, z, rho, j_x, j_y, j_z ;
-2, -2, 0, 0.0004214, -1.055e-21, -1.313e-20, -4.214e-05 ;
-2, -1.96, 0, 0.0004602, 3.981e-22, -1.355e-20, -4.51e-05 ;
-2, -1.92, 0, 0.0005018, -2.238e-21, -1.652e-20, -4.817e-05 ;
-2, -1.88, 0, 0.0005463, -4.156e-21, -2.075e-20, -5.135e-05 ;
-2, -1.84, 0, 0.0005939, -3.461e-21, -2.033e-20, -5.463e-05 ;
-2, -1.8, 0, 0.0006446, -4.388e-21, -2.245e-20, -5.801e-05 ;
-2, -1.76, 0, 0.0006985, -1.925e-21, -2.456e-20, -6.147e-05 ;
-2, -1.72, 0, 0.0007558, -5.319e-21, -2.626e-20, -6.5e-05 ;
-2, -1.68, 0, 0.0008166, -2.082e-21, -2.541e-20, -6.859e-05 ;
-2, -1.64, 0, 0.0008809, -7.257e-21, -2.88e-20, -7.223e-05 ;
-2, -1.6, 0, 0.0009487, -5.685e-21, -2.965e-20, -7.589e-05 ;
-2, -1.56, 0, 0.00102, -5.768e-21, -3.219e-20, -7.957e-05 ;
-2, -1.52, 0, 0.001095, -6.137e-21, -3.388e-20, -8.324e-05 ;
-2, -1.48, 0, 0.001174, -6.327e-21, -3.896e-20, -8.688e-05 ;
-2, -1.44, 0, 0.001257, -6.613e-21, -3.896e-20, -9.047e-05 ;
-2, -1.4, 0, 0.001343, -7.087e-21, -4.066e-20, -9.399e-05 ;
-2, -1.36, 0, 0.001433, -7.574e-21, -4.574e-20, -9.741e-05 ;
-2, -1.32, 0, 0.001526, -9.861e-21, -4.574e-20, -0.0001007 ;
-2, -1.28, 0, 0.001623, -1.052e-20, -5.082e-20, -0.0001039 ;
-2, -1.24, 0, 0.001723, -6.49e-21, -4.743e-20, -0.0001068 ;
-2, -1.2, 0, 0.001827, -1.089e-20, -5.252e-20, -0.0001096 ;
-2, -1.16, 0, 0.001933, -8.245e-21, -5.252e-20, -0.0001121 ;
-2, -1.12, 0, 0.002043, -1.186e-20, -5.929e-20, -0.0001144 ;
-2, -1.08, 0, 0.002155, -1.145e-20, -6.099e-20, -0.0001164 ;
-2, -1.04, 0, 0.00227, -1.295e-20, -6.268e-20, -0.000118 ;
-2, -1, 0, 0.002387, -9.552e-21, -6.437e-20, -0.0001193 ;
-2, -0.96, 0, 0.002505, -1.283e-20, -7.454e-20, -0.0001202 ;
-2, -0.92, 0, 0.002625, -1.751e-20, -7.793e-20, -0.0001208 ;
-2, -0.88, 0, 0.002746, -1.483e-20, -7.793e-20, -0.0001208 ;
-2, -0.84, 0, 0.002868, -1.563e-20, -8.132e-20, -0.0001205 ;
