% x, y, z, rho, j_x, j_y, j_z ;
-2, -2, 0, 0.0004256, 0, 0, 0 ;
-2, -1.96, 0, 0.0004646, 0, 0, 0 ;
-2, -1.92, 0, 0.0005064, 0, 0, 0 ;
-2, -1.88, 0, 0.0005512, 0, 0, 0 ;
-2, -1.84, 0, 0.000599, 0, 0, 0 ;
-2, -1.8, 0, 0.0006499, 0, 0, 0 ;
-2, -1.76, 0, 0.0007042, 0, 0, 0 ;
-2, -1.72, 0, 0.0007617, 0, 0, 0 ;
-2, -1.68, 0, 0.0008228, 0, 0, 0 ;
-2, -1.64, 0, 0.0008873, 0, 0, 0 ;
-2, -1.6, 0, 0.0009554, 0, 0, 0 ;
-2, -1.56, 0, 0.001027, 0, 0, 0 ;
-2, -1.52, 0, 0.001103, 0, 0, 0 ;
-2, -1.48, 0, 0.001182, 0, 0, 0 ;
-2, -1.44, 0, 0.001264, 0, 0, 0 ;
-2, -1.4, 0, 0.001351, 0, 0, 0 ;
-2, -1.36, 0, 0.001441, 0, 0, 0 ;
-2, -1.32, 0, 0.001535, 0, 0, 0 ;
-2, -1.28, 0, 0.001632, 0, 0, 0 ;
-2, -1.24, 0, 0.001732, 0, 0, 0 ;
-2, -1.2, 0, 0.001836, 0, 0, 0 ;
-2, -1.16, 0, 0.001943, 0, 0, 0 ;
-2, -1.12, 0, 0.002053, 0, 0, 0 ;
-2, -1.08, 0, 0.002166, 0, 0, 0 ;
-2, -1.04, 0, 0.002281, 0, 0, 0 ;
-2, -1, 0, 0.002398, 0, 0, 0 ;
-2, -0.96, 0, 0.002516, 0, 0, 0 ;
-2, -0.92, 0, 0.002637, 0, 0, 0 ;
-2, -0.88, 0, 0.002758, 0, 0, 0 ;
-2, -0.84, 0, 0.00288, 0, 0, 0 ;
-2, -0.8, 0, 0.003002, 0, 0, 0 ;
-2, -0.76, 0, 0.003124, 0, 0, 0 ;
-2, -0.72, 0, 0.003245, 0, 0, 0 ;
-2, -0.68, 0, 0.003364, 0, 0, 0 ;
-2, -0.64, 0, 0.003481, 0, 0, 0 ;
-2, -0.6, 0, 0.003595, 0, 0, 0 ;
-2, -0.56, 0, 0.003707, 0, 0, 0 ;
-2, -0.52, 0, 0.003814, 0, 0, 0 ;
-2, -0.48, 0, 0.003916, 0, 0, 0 ;
-2, -0.44, 0, 0.004013, 0, 0, 0 ;
-2, -0.4, 0, 0.004105, 0, 0, 0 ;
-2, -0.36, 0, 0.00419, 0, 0, 0 ;
-2, -0.32, 0, 0.004267, 0, 0, 0 ;
-2, -0.28, 0, 0.004337, 0, 0, 0 ;
-2, -0.24, 0, 0.004399, 0, 0, 0 ;
-2, -0.2, 0, 0.004452, 0, 0, 0 ;
-2, -0.16, 0, 0.004496, 0, 0, 0 ;
-2, -0.12, 0, 0.004531, 0, 0, 0 ;
-2, -0.08, 0, 0.004555, 0, 0, 0 ;
-2, -0.04, 0, 0.004571, 0, 0, 0 ;
-2, 0, 0, 0.004576, -0, 0, 0 ;
-2, 0.04, 0, 0.004571, -0, 0, 0 ;
-2, 0.08, 0, 0.004555, -0, 0, 0 ;
-2, 0.12, 0, 0.004531, -0, 0, 0 ;
-2, 0.16, 0, 0.004496, -0, 0, 0 ;
-2, 0.2, 0, 0.004452, -0, 0, 0 ;
-2, 0.24, 0, 0.004399, -0, 0, 0 ;
-2, 0.28, 0, 0.004337, -0, 0, 0 ;
-2, 0.32, 0, 0.004267, -0, 0, 0 ;
-2, 0.36, 0, 0.00419, -0, 0, 0 ;
-2, 0.4, 0, 0.004105, -0, 0, 0 ;
-2, 0.44, 0, 0.004013, -0, 0, 0 ;
-2, 0.48, 0, 0.003916, -0, 0, 0 ;
-2, 0.52, 0, 0.003814, -0, 0, 0 ;
-2, 0.56, 0, 0.003707, -0, 0, 0 ;
-2, 0.6, 0, 0.003595, -0, 0, 0 ;
-2, 0.64, 0, 0.003481, -0, 0, 0 ;
-2, 0.68, 0, 0.003364, -0, 0, 0 ;
-2, 0.72, 0, 0.003245, -0, 0, 0 ;
-2, 0.76, 0, 0.003124, -0, 0, 0 ;
-2, 0.8, 0, 0.003002, -0, 0, 0 ;
-2, 0.84, 0, 0.00288, -0, 0, 0 ;
-2, 0.88, 0, 0.002758, -0, 0, 0 ;
-2, 0.92, 0, 0.002637, -0, 0, 0 ;
-2, 0.96, 0, 0.002516, -0, 0, 0 ;
-2, 1, 0, 0.002398, -0, 0, 0 ;
-2, 1.04, 0, 0.002281, -0, 0, 0 ;
-2, 1.08, 0, 0.002166, -0, 0, 0 ;
-2, 1.12, 0, 0.002053, -0, 0, 0 ;
-2, 1.16, 0, 0.001943, -0, 0, 0 ;
-2, 1.2, 0, 0.001836, -0, 0, 0 ;
-2, 1.24, 0, 0.001732, -0, 0, 0 ;
-2, 1.28, 0, 0.001632, -0, 0, 0 ;
-2, 1.32, 0, 0.001535, -0, 0, 0 ;
-2, 1.36, 0, 0.001441, -0, 0, 0 ;
-2, 1.4, 0, 0.001351, -0, 0, 0 ;
-2, 1.44, 0, 0.001264, -0, 0, 0 ;
-2, 1.48, 0, 0.001182, -0, 0, 0 ;
-2, 1.52, 0, 0.001103, -0, 0, 0 ;
-2, 1.56, 0, 0.001027, -0, 0, 0 ;
-2, 1.6, 0, 0.0009554, -0, 0, 0 ;
-2, 1.64, 0, 0.0008873, -0, 0, 0 ;
-2, 1.68, 0, 0.0008228, -0, 0, 0 ;
-2, 1.72, 0, 0.0007617, -0, 0, 0 ;
-2, 1.76, 0, 0.0007042, -0, 0, 0 ;
-2, 1.8, 0, 0.0006499, -0, 0, 0 ;
-2, 1.84, 0, 0.000599, -0, 0, 0 ;
-2, 1.88, 0, 0.0005512, -0, 0, 0 ;
-2, 1.92, 0, 0.0005064, -0, 0, 0 ;
-2, 1.96, 0, 0.0004646, -0, 0, 0 ;
-2, 2, 0, 0.0004256, -0, 0, 0 ;
-1.96, -2, 0, 0.000465, 0, 0, 0 ;
-1.96, -1.96, 0, 0.0005078, 0, 0, 0 ;
-1.96, -1.92, 0, 0.0005536, 0, 0, 0 ;
-1.96, -1.88, 0, 0.0006028, 0, 0, 0 ;
-1.96, -1.84, 0, 0.0006552, 0, 0, 0 ;
-1.96, -1.8, 0, 0.0007112, 0, 0, 0 ;
-1.96, -1.76, 0, 0.0007708, 0, 0, 0 ;
-1.96, -1.72, 0, 0.000834, 0, 0, 0 ;
-1.96, -1.68, 0, 0.0009011, 0, 0, 0 ;
-1.96, -1.64, 0, 0.0009721, 0, 0, 0 ;
-1.96, -1.6, 0, 0.001047, 0, 0, 0 ;
-1.96, -1.56, 0, 0.001126, 0, 0, 0 ;
-1.96, -1.52, 0, 0.001209, 0, 0, 0 ;
-1.96, -1.48, 0, 0.001297, 0, 0, 0 ;
-1.96, -1.44, 0, 0.001388, 0, 0, 0 ;
-1.96, -1.4, 0, 0.001484, 0, 0, 0 ;
-1.96, -1.36, 0, 0.001583, 0, 0, 0 ;
-1.96, -1.32, 0, 0.001687, 0, 0, 0 ;
-1.96, -1.28, 0, 0.001795, 0, 0, 0 ;
-1.96, -1.24, 0, 0.001906, 0, 0, 0 ;
-1.96, -1.2, 0, 0.002022, 0, 0, 0 ;
-1.96, -1.16, 0, 0.00214, 0, 0, 0 ;
-1.96, -1.12, 0, 0.002263, 0, 0, 0 ;
-1.96, -1.08, 0, 0.002388, 0, 0, 0 ;
-1.96, -1.04, 0, 0.002516, 0, 0, 0 ;
-1.96, -1, 0, 0.002647, 0, 0, 0 ;
-1.96, -0.96, 0, 0.00278, 0, 0, 0 ;
-1.96, -0.92, 0, 0.002915, 0, 0, 0 ;
-1.96, -0.88, 0, 0.003051, 0, 0, 0 ;
-1.96, -0.84, 0, 0.003188, 0, 0, 0 ;
-1.96, -0.8, 0, 0.003326, 0, 0, 0 ;
-1.96, -0.76, 0, 0.003463, 0, 0, 0 ;
-1.96, -0.72, 0, 0.003599, 0, 0, 0 ;
-1.96, -0.68, 0, 0.003734, 0, 0, 0 ;
-1.96, -0.64, 0, 0.003867, 0, 0, 0 ;
-1.96, -0.6, 0, 0.003996, 0, 0, 0 ;
-1.96, -0.56, 0, 0.004122, 0, 0, 0 ;
-1.96, -0.52, 0, 0.004244, 0, 0, 0 ;
-1.96, -0.48, 0, 0.004361, 0, 0, 0 ;
-1.96, -0.44, 0, 0.004471, 0, 0, 0 ;
-1.96, -0.4, 0, 0.004575, 0, 0, 0 ;
-1.96, -0.36, 0, 0.004672, 0, 0, 0 ;
