% x, y, z, rho, j_x, j_y, j_z ;
-3, -3, 0, 5.471e-08, 4.6e-21, 4.344e-21, -8.207e-08 ;
-3, -2.94, 0, 2.691e-08, 5.177e-21, 4.881e-21, -3.955e-08 ;
-3, -2.88, 0, 7.318e-09, 5.706e-21, 5.373e-21, -1.054e-08 ;
-3, -2.82, 0, 4.14e-12, 6.385e-21, 6.004e-21, -5.837e-12 ;
-3, -2.76, 0, 9.842e-09, 7.268e-21, 6.835e-21, -1.358e-08 ;
-3, -2.7, 0, 4.262e-08, 7.927e-21, 7.476e-21, -5.754e-08 ;
-3, -2.64, 0, 1.051e-07, 8.831e-21, 8.307e-21, -1.387e-07 ;
-3, -2.58, 0, 2.051e-07, 9.67e-21, 9.178e-21, -2.646e-07 ;
-3, -2.52, 0, 3.515e-07, 1.059e-20, 1.008e-20, -4.429e-07 ;
-3, -2.46, 0, 5.544e-07, 1.149e-20, 1.106e-20, -6.819e-07 ;
-3, -2.4, 0, 8.249e-07, 1.27e-20, 1.23e-20, -9.899e-07 ;
-3, -2.34, 0, 1.175e-06, 1.38e-20, 1.35e-20, -1.375e-06 ;
-3, -2.28, 0, 1.619e-06, 1.557e-20, 1.515e-20, -1.846e-06 ;
-3, -2.22, 0, 2.17e-06, 1.68e-20, 1.646e-20, -2.409e-06 ;
-3, -2.16, 0, 2.845e-06, 1.805e-20, 1.834e-20, -3.072e-06 ;
-3, -2.1, 0, 3.658e-06, 1.871e-20, 1.935e-20, -3.84e-06 ;
-3, -2.04, 0, 4.626e-06, 2.091e-20, 2.149e-20, -4.718e-06 ;
-3, -1.98, 0, 5.766e-06, 2.221e-20, 2.361e-20, -5.708e-06 ;
-3, -1.92, 0, 7.094e-06, 2.411e-20, 2.573e-20, -6.811e-06 ;
-3, -1.86, 0, 8.627e-06, 2.542e-20, 2.785e-20, -8.024e-06 ;
-3, -1.8, 0, 1.038e-05, 2.618e-20, 2.975e-20, -9.342e-06 ;
-3, -1.74, 0, 1.237e-05, 2.751e-20, 3.229e-20, -1.076e-05 ;
-3, -1.68, 0, 1.46e-05, 2.945e-20, 3.462e-20, -1.227e-05 ;
-3, -1.62, 0, 1.709e-05, 3.136e-20, 3.79e-20, -1.384e-05 ;
-3, -1.56, 0, 1.985e-05, 3.429e-20, 4.129e-20, -1.548e-05 ;
-3, -1.5, 0, 2.287e-05, 3.439e-20, 4.405e-20, -1.715e-05 ;
-3, -1.44, 0, 2.617e-05, 3.5e-20, 4.722e-20, -1.884e-05 ;
-3, -1.38, 0, 2.973e-05, 3.419e-20, 4.934e-20, -2.051e-05 ;
-3, -1.32, 0, 3.355e-05, 3.673e-20, 5.294e-20, -2.214e-05 ;
-3, -1.26, 0, 3.762e-05, 3.788e-20, 5.548e-20, -2.37e-05 ;
-3, -1.2, 0, 4.192e-05, 4.047e-20, 6.014e-20, -2.515e-05 ;
-3, -1.14, 0, 4.643e-05, 3.861e-20, 6.353e-20, -2.647e-05 ;
-3, -1.08, 0, 5.113e-05, 4.373e-20, 6.819e-20, -2.761e-05 ;
-3, -1.02, 0, 5.597e-05, 4.295e-20, 7.2e-20, -2.854e-05 ;
-3, -0.96, 0, 6.092e-05, 3.941e-20, 7.412e-20, -2.924e-05 ;
-3, -0.9, 0, 6.595e-05, 4.073e-20, 7.877e-20, -2.968e-05 ;
-3, -0.84, 0, 7.1e-05, 3.954e-20, 8.132e-20, -2.982e-05 ;
-3, -0.78, 0, 7.603e-05, 3.949e-20, 8.47e-20, -2.965e-05 ;
-3, -0.72, 0, 8.098e-05, 3.605e-20, 8.386e-20, -2.915e-05 ;
-3, -0.66, 0, 8.58e-05, 3.422e-20, 8.894e-20, -2.831e-05 ;
-3, -0.6, 0, 9.044e-05, 3.579e-20, 9.063e-20, -2.713e-05 ;
-3, -0.54, 0, 9.484e-05, 3.063e-20, 9.487e-20, -2.561e-05 ;
-3, -0.48, 0, 9.895e-05, 3.048e-20, 9.741e-20, -2.375e-05 ;
-3, -0.42, 0, 0.0001027, 2.703e-20, 9.91e-20, -2.157e-05 ;
-3, -0.36, 0, 0.0001061, 2.254e-20, 1.016e-19, -1.91e-05 ;
-3, -0.3, 0, 0.000109, 2.217e-20, 1.025e-19, -1.635e-05 ;
-3, -0.24, 0, 0.0001115, 1.815e-20, 1.05e-19, -1.338e-05 ;
-3, -0.18, 0, 0.0001134, 1.413e-20, 1.05e-19, -1.021e-05 ;
-3, -0.12, 0, 0.0001148, 1.186e-20, 1.033e-19, -6.891e-06 ;
-3, -0.06, 0, 0.0001157, 7.135e-21, 1.067e-19, -3.471e-06 ;
-3, 0, 0, 0.000116, 3.717e-21, 1.059e-19, 3.439e-20 ;
-3, 0.06, 0, 0.0001157, 1.136e-22, 1.067e-19, 3.471e-06 ;
-3, 0.12, 0, 0.0001148, -4.333e-21, 1.059e-19, 6.891e-06 ;
-3, 0.18, 0, 0.0001134, -7.626e-21, 1.059e-19, 1.021e-05 ;
-3, 0.24, 0, 0.0001115, -9.821e-21, 1.025e-19, 1.338e-05 ;
-3, 0.3, 0, 0.000109, -1.455e-20, 1.042e-19, 1.635e-05 ;
-3, 0.36, 0, 0.0001061, -1.641e-20, 9.995e-20, 1.91e-05 ;
