% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 1.849e-21, 0, 0, 0 ;
-10, -9.9, 0, 2.796e-21, 0, 0, 0 ;
-10, -9.8, 0, 4.209e-21, 0, 0, 0 ;
-10, -9.7, 0, 6.31e-21, 0, 0, 0 ;
-10, -9.6, 0, 9.421e-21, 0, 0, 0 ;
-10, -9.5, 0, 1.4e-20, 0, 0, 0 ;
-10, -9.4, 0, 2.073e-20, 0, 0, 0 ;
-10, -9.3, 0, 3.056e-20, 0, 0, 0 ;
-10, -9.2, 0, 4.485e-20, 0, 0, 0 ;
-10, -9.1, 0, 6.554e-20, 0, 0, 0 ;
-10, -9, 0, 9.539e-20, 0, 0, 0 ;
-10, -8.9, 0, 1.382e-19, 0, 0, 0 ;
-10, -8.8, 0, 1.995e-19, 0, 0, 0 ;
-10, -8.7, 0, 2.866e-19, 0, 0, 0 ;
-10, -8.6, 0, 4.101e-19, 0, 0, 0 ;
-10, -8.5, 0, 5.843e-19, 0, 0, 0 ;
-10, -8.4, 0, 8.29e-19, 0, 0, 0 ;
-10, -8.3, 0, 1.171e-18, 0, 0, 0 ;
-10, -8.2, 0, 1.648e-18, 0, 0, 0 ;
-10, -8.1, 0, 2.308e-18, 0, 0, 0 ;
-10, -8, 0, 3.219e-18, 0, 0, 0 ;
-10, -7.9, 0, 4.472e-18, 0, 0, 0 ;
-10, -7.8, 0, 6.185e-18, 0, 0, 0 ;
-10, -7.7, 0, 8.519e-18, 0, 0, 0 ;
-10, -7.6, 0, 1.168e-17, 0, 0, 0 ;
-10, -7.5, 0, 1.596e-17, 0, 0, 0 ;
-10, -7.4, 0, 2.17e-17, 0, 0, 0 ;
-10, -7.3, 0, 2.939e-17, 0, 0, 0 ;
-10, -7.2, 0, 3.964e-17, 0, 0, 0 ;
-10, -7.1, 0, 5.323e-17, 0, 0, 0 ;
-10, -7, 0, 7.119e-17, 0, 0, 0 ;
-10, -6.9, 0, 9.48e-17, 0, 0, 0 ;
-10, -6.8, 0, 1.257e-16, 0, 0, 0 ;
-10, -6.7, 0, 1.66e-16, 0, 0, 0 ;
-10, -6.6, 0, 2.183e-16, 0, 0, 0 ;
-10, -6.5, 0, 2.858e-16, 0, 0, 0 ;
-10, -6.4, 0, 3.727e-16, 0, 0, 0 ;
-10, -6.3, 0, 4.84e-16, 0, 0, 0 ;
-10, -6.2, 0, 6.258e-16, 0, 0, 0 ;
-10, -6.1, 0, 8.058e-16, 0, 0, 0 ;
-10, -6, 0, 1.033e-15, 0, 0, 0 ;
-10, -5.9, 0, 1.319e-15, 0, 0, 0 ;
-10, -5.8, 0, 1.678e-15, 0, 0, 0 ;
-10, -5.7, 0, 2.125e-15, 0, 0, 0 ;
-10, -5.6, 0, 2.679e-15, 0, 0, 0 ;
-10, -5.5, 0, 3.364e-15, 0, 0, 0 ;
-10, -5.4, 0, 4.207e-15, 0, 0, 0 ;
-10, -5.3, 0, 5.239e-15, 0, 0, 0 ;
-10, -5.2, 0, 6.497e-15, 0, 0, 0 ;
-10, -5.1, 0, 8.024e-15, 0, 0, 0 ;
-10, -5, 0, 9.868e-15, 0, 0, 0 ;
-10, -4.9, 0, 1.209e-14, 0, 0, 0 ;
-10, -4.8, 0, 1.474e-14, 0, 0, 0 ;
-10, -4.7, 0, 1.79e-14, 0, 0, 0 ;
-10, -4.6, 0, 2.166e-14, 0, 0, 0 ;
-10, -4.5, 0, 2.609e-14, 0, 0, 0 ;
-10, -4.4, 0, 3.129e-14, 0, 0, 0 ;
-10, -4.3, 0, 3.738e-14, 0, 0, 0 ;
-10, -4.2, 0, 4.447e-14, 0, 0, 0 ;
-10, -4.1, 0, 5.269e-14, 0, 0, 0 ;
-10, -4, 0, 6.217e-14, 0, 0, 0 ;
-10, -3.9, 0, 7.305e-14, 0, 0, 0 ;
-10, -3.8, 0, 8.549e-14, 0, 0, 0 ;
-10, -3.7, 0, 9.962e-14, 0, 0, 0 ;
-10, -3.6, 0, 1.156e-13, 0, 0, 0 ;
-10, -3.5, 0, 1.336e-13, 0, 0, 0 ;
-10, -3.4, 0, 1.538e-13, 0, 0, 0 ;
-10, -3.3, 0, 1.763e-13, 0, 0, 0 ;
-10, -3.2, 0, 2.013e-13, 0, 0, 0 ;
-10, -3.1, 0, 2.289e-13, 0, 0, 0 ;
-10, -3, 0, 2.591e-13, 0, 0, 0 ;
-10, -2.9, 0, 2.922e-13, 0, 0, 0 ;
-10, -2.8, 0, 3.282e-13, 0, 0, 0 ;
-10, -2.7, 0, 3.67e-13, 0, 0, 0 ;
-10, -2.6, 0, 4.088e-13, 0, 0, 0 ;
-10, -2.5, 0, 4.535e-13, 0, 0, 0 ;
-10, -2.4, 0, 5.011e-13, 0, 0, 0 ;
-10, -2.3, 0, 5.513e-13, 0, 0, 0 ;
-10, -2.2, 0, 6.041e-13, 0, 0, 0 ;
-10, -2.1, 0, 6.593e-13, 0, 0, 0 ;
-10, -2, 0, 7.166e-13, 0, 0, 0 ;
-10, -1.9, 0, 7.757e-13, 0, 0, 0 ;
-10, -1.8, 0, 8.363e-13, 0, 0, 0 ;
-10, -1.7, 0, 8.979e-13, 0, 0, 0 ;
