% x, y, z, rho, j_x, j_y, j_z ;
0, -1.5, -1.5, 0.01618, 0, 0, -0 ;
0, -1.5, -1.46, 0.018, 0, 0, -0 ;
0, -1.5, -1.42, 0.02004, 0, 0, -0 ;
0, -1.5, -1.38, 0.02231, 0, 0, -0 ;
0, -1.5, -1.34, 0.02485, 0, 0, -0 ;
0, -1.5, -1.3, 0.02767, 0, 0, -0 ;
0, -1.5, -1.26, 0.0308, 0, 0, -0 ;
0, -1.5, -1.22, 0.03425, 0, 0, -0 ;
0, -1.5, -1.18, 0.03803, 0, 0, -0 ;
0, -1.5, -1.14, 0.04216, 0, 0, -0 ;
0, -1.5, -1.1, 0.04664, 0, 0, -0 ;
0, -1.5, -1.06, 0.05147, 0, 0, -0 ;
0, -1.5, -1.02, 0.05665, 0, 0, -0 ;
0, -1.5, -0.98, 0.06214, 0, 0, -0 ;
0, -1.5, -0.94, 0.06792, 0, 0, -0 ;
0, -1.5, -0.9, 0.07395, 0, 0, -0 ;
0, -1.5, -0.86, 0.08018, 0, 0, -0 ;
0, -1.5, -0.82, 0.08654, 0, 0, -0 ;
0, -1.5, -0.78, 0.09297, 0, 0, -0 ;
0, -1.5, -0.74, 0.09938, 0, 0, -0 ;
0, -1.5, -0.7, 0.1057, 0, 0, -0 ;
0, -1.5, -0.66, 0.1118, 0, 0, -0 ;
0, -1.5, -0.62, 0.1177, 0, 0, -0 ;
0, -1.5, -0.58, 0.1232, 0, 0, -0 ;
0, -1.5, -0.54, 0.1282, 0, 0, -0 ;
0, -1.5, -0.5, 0.1327, 0, 0, -0 ;
0, -1.5, -0.46, 0.1366, 0, 0, -0 ;
0, -1.5, -0.42, 0.1399, 0, 0, -0 ;
0, -1.5, -0.38, 0.1425, 0, 0, -0 ;
0, -1.5, -0.34, 0.1444, 0, 0, -0 ;
0, -1.5, -0.3, 0.1455, 0, 0, -0 ;
0, -1.5, -0.26, 0.1461, 0, 0, -0 ;
0, -1.5, -0.22, 0.1459, 0, 0, -0 ;
0, -1.5, -0.18, 0.1451, 0, 0, -0 ;
0, -1.5, -0.14, 0.1438, 0, 0, -0 ;
0, -1.5, -0.1, 0.1419, 0, 0, -0 ;
0, -1.5, -0.06, 0.1396, 0, 0, -0 ;
0, -1.5, -0.02, 0.1368, 0, 0, -0 ;
0, -1.5, 0.02, 0.1337, 0, 0, -0 ;
0, -1.5, 0.06, 0.1304, 0, 0, -0 ;
0, -1.5, 0.1, 0.1268, 0, 0, -0 ;
0, -1.5, 0.14, 0.123, 0, 0, -0 ;
0, -1.5, 0.18, 0.1191, 0, 0, -0 ;
0, -1.5, 0.22, 0.1152, 0, 0, -0 ;
0, -1.5, 0.26, 0.1112, 0, 0, -0 ;
0, -1.5, 0.3, 0.1071, 0, 0, -0 ;
0, -1.5, 0.34, 0.1031, 0, 0, -0 ;
0, -1.5, 0.38, 0.09912, 0, 0, -0 ;
0, -1.5, 0.42, 0.09517, 0, 0, -0 ;
0, -1.5, 0.46, 0.09127, 0, 0, -0 ;
0, -1.5, 0.5, 0.08743, 0, 0, -0 ;
0, -1.5, 0.54, 0.08366, 0, 0, -0 ;
0, -1.5, 0.58, 0.07996, 0, 0, -0 ;
0, -1.5, 0.62, 0.07633, 0, 0, -0 ;
0, -1.5, 0.66, 0.07278, 0, 0, -0 ;
0, -1.5, 0.7, 0.06931, 0, 0, -0 ;
0, -1.5, 0.74, 0.06593, 0, 0, -0 ;
0, -1.5, 0.78, 0.06263, 0, 0, -0 ;
0, -1.5, 0.82, 0.05943, 0, 0, -0 ;
0, -1.5, 0.86, 0.05632, 0, 0, -0 ;
0, -1.5, 0.9, 0.0533, 0, 0, -0 ;
0, -1.5, 0.94, 0.05038, 0, 0, -0 ;
0, -1.5, 0.98, 0.04757, 0, 0, -0 ;
0, -1.5, 1.02, 0.04486, 0, 0, -0 ;
0, -1.5, 1.06, 0.04226, 0, 0, -0 ;
0, -1.5, 1.1, 0.03977, 0, 0, -0 ;
0, -1.5, 1.14, 0.03738, 0, 0, -0 ;
0, -1.5, 1.18, 0.03511, 0, 0, -0 ;
0, -1.5, 1.22, 0.03294, 0, 0, -0 ;
0, -1.5, 1.26, 0.03089, 0, 0, -0 ;
0, -1.5, 1.3, 0.02894, 0, 0, -0 ;
0, -1.5, 1.34, 0.02709, 0, 0, -0 ;
0, -1.5, 1.38, 0.02535, 0, 0, -0 ;
0, -1.5, 1.42, 0.0237, 0, 0, -0 ;
0, -1.5, 1.46, 0.02215, 0, 0, -0 ;
0, -1.5, 1.5, 0.02069, 0, 0, -0 ;
0, -1.5, 1.54, 0.01932, 0, 0, -0 ;
0, -1.5, 1.58, 0.01804, 0, 0, -0 ;
0, -1.5, 1.62, 0.01683, 0, 0, -0 ;
