% x, y, z, rho, j_x, j_y, j_z ;
0, -5, -5, 7.061e-08, 0, 0, -0 ;
0, -5, -4.92, 7.903e-08, 0, 0, -0 ;
0, -5, -4.84, 8.821e-08, 0, 0, -0 ;
0, -5, -4.76, 9.815e-08, 0, 0, -0 ;
0, -5, -4.68, 1.089e-07, 0, 0, -0 ;
0, -5, -4.6, 1.204e-07, 0, 0, -0 ;
0, -5, -4.52, 1.326e-07, 0, 0, -0 ;
0, -5, -4.44, 1.456e-07, 0, 0, -0 ;
0, -5, -4.36, 1.593e-07, 0, 0, -0 ;
0, -5, -4.28, 1.736e-07, 0, 0, -0 ;
0, -5, -4.2, 1.886e-07, 0, 0, -0 ;
0, -5, -4.12, 2.041e-07, 0, 0, -0 ;
0, -5, -4.04, 2.2e-07, 0, 0, -0 ;
0, -5, -3.96, 2.363e-07, 0, 0, -0 ;
0, -5, -3.88, 2.529e-07, 0, 0, -0 ;
0, -5, -3.8, 2.696e-07, 0, 0, -0 ;
0, -5, -3.72, 2.864e-07, 0, 0, -0 ;
0, -5, -3.64, 3.031e-07, 0, 0, -0 ;
0, -5, -3.56, 3.197e-07, 0, 0, -0 ;
0, -5, -3.48, 3.36e-07, 0, 0, -0 ;
0, -5, -3.4, 3.519e-07, 0, 0, -0 ;
0, -5, -3.32, 3.673e-07, 0, 0, -0 ;
0, -5, -3.24, 3.821e-07, 0, 0, -0 ;
0, -5, -3.16, 3.964e-07, 0, 0, -0 ;
0, -5, -3.08, 4.099e-07, 0, 0, -0 ;
0, -5, -3, 4.229e-07, 0, 0, -0 ;
0, -5, -2.92, 4.352e-07, 0, 0, -0 ;
0, -5, -2.84, 4.469e-07, 0, 0, -0 ;
0, -5, -2.76, 4.582e-07, 0, 0, -0 ;
0, -5, -2.68, 4.691e-07, 0, 0, -0 ;
0, -5, -2.6, 4.799e-07, 0, 0, -0 ;
0, -5, -2.52, 4.908e-07, 0, 0, -0 ;
0, -5, -2.44, 5.021e-07, 0, 0, -0 ;
0, -5, -2.36, 5.142e-07, 0, 0, -0 ;
0, -5, -2.28, 5.274e-07, 0, 0, -0 ;
0, -5, -2.2, 5.421e-07, 0, 0, -0 ;
0, -5, -2.12, 5.589e-07, 0, 0, -0 ;
0, -5, -2.04, 5.783e-07, 0, 0, -0 ;
0, -5, -1.96, 6.007e-07, 0, 0, -0 ;
0, -5, -1.88, 6.268e-07, 0, 0, -0 ;
0, -5, -1.8, 6.572e-07, 0, 0, -0 ;
0, -5, -1.72, 6.924e-07, 0, 0, -0 ;
0, -5, -1.64, 7.331e-07, 0, 0, -0 ;
0, -5, -1.56, 7.799e-07, 0, 0, -0 ;
0, -5, -1.48, 8.333e-07, 0, 0, -0 ;
0, -5, -1.4, 8.939e-07, 0, 0, -0 ;
0, -5, -1.32, 9.62e-07, 0, 0, -0 ;
0, -5, -1.24, 1.038e-06, 0, 0, -0 ;
0, -5, -1.16, 1.123e-06, 0, 0, -0 ;
0, -5, -1.08, 1.216e-06, 0, 0, -0 ;
0, -5, -1, 1.317e-06, 0, 0, -0 ;
0, -5, -0.92, 1.427e-06, 0, 0, -0 ;
0, -5, -0.84, 1.546e-06, 0, 0, -0 ;
0, -5, -0.76, 1.673e-06, 0, 0, -0 ;
0, -5, -0.68, 1.807e-06, 0, 0, -0 ;
0, -5, -0.6, 1.949e-06, 0, 0, -0 ;
0, -5, -0.52, 2.097e-06, 0, 0, -0 ;
0, -5, -0.44, 2.25e-06, 0, 0, -0 ;
0, -5, -0.36, 2.408e-06, 0, 0, -0 ;
0, -5, -0.28, 2.568e-06, 0, 0, -0 ;
0, -5, -0.2, 2.731e-06, 0, 0, -0 ;
0, -5, -0.12, 2.893e-06, 0, 0, -0 ;
0, -5, -0.04, 3.055e-06, 0, 0, -0 ;
0, -5, 0.04, 3.214e-06, 0, 0, -0 ;
0, -5, 0.12, 3.368e-06, 0, 0, -0 ;
0, -5, 0.2, 3.517e-06, 0, 0, -0 ;
0, -5, 0.28, 3.658e-06, 0, 0, -0 ;
0, -5, 0.36, 3.791e-06, 0, 0, -0 ;
0, -5, 0.44, 3.913e-06, 0, 0, -0 ;
0, -5, 0.52, 4.023e-06, 0, 0, -0 ;
0, -5, 0.6, 4.12e-06, 0, 0, -0 ;
0, -5, 0.68, 4.204e-06, 0, 0, -0 ;
0, -5, 0.76, 4.273e-06, 0, 0, -0 ;
0, -5, 0.84, 4.328e-06, 0, 0, -0 ;
0, -5, 0.92, 4.366e-06, 0, 0, -0 ;
0, -5, 1, 4.389e-06, 0, 0, -0 ;
0, -5, 1.08, 4.397e-06, 0, 0, -0 ;
0, -5, 1.16, 4.389e-06, 0, 0, -0 ;
0, -5, 1.24, 4.366e-06, 0, 0, -0 ;
0, -5, 1.32, 4.328e-06, 0, 0, -0 ;
0, -5, 1.4, 4.277e-06, 0, 0, -0 ;
0, -5, 1.48, 4.213e-06, 0, 0, -0 ;
