% x, y, z, rho, j_x, j_y, j_z ;
-2, -2, 0, 0.0001485, 1.137e-06, -2.048e-06, 7.23e-25 ;
-2, -1.96, 0, 0.0001584, 1.18e-06, -2.183e-06, 7.692e-25 ;
-2, -1.92, 0, 0.0001686, 1.223e-06, -2.324e-06, 8.171e-25 ;
-2, -1.88, 0, 0.0001792, 1.264e-06, -2.47e-06, 8.666e-25 ;
-2, -1.84, 0, 0.0001902, 1.303e-06, -2.622e-06, 9.177e-25 ;
-2, -1.8, 0, 0.0002015, 1.341e-06, -2.778e-06, 9.702e-25 ;
-2, -1.76, 0, 0.0002132, 1.376e-06, -2.939e-06, 1.024e-24 ;
-2, -1.72, 0, 0.0002252, 1.408e-06, -3.104e-06, 1.079e-24 ;
-2, -1.68, 0, 0.0002374, 1.437e-06, -3.273e-06, 1.136e-24 ;
-2, -1.64, 0, 0.00025, 1.463e-06, -3.446e-06, 1.193e-24 ;
-2, -1.6, 0, 0.0002628, 1.486e-06, -3.623e-06, 1.252e-24 ;
-2, -1.56, 0, 0.0002758, 1.504e-06, -3.802e-06, 1.311e-24 ;
-2, -1.52, 0, 0.0002889, 1.518e-06, -3.983e-06, 1.37e-24 ;
-2, -1.48, 0, 0.0003022, 1.527e-06, -4.166e-06, 1.43e-24 ;
-2, -1.44, 0, 0.0003155, 1.532e-06, -4.35e-06, 1.491e-24 ;
-2, -1.4, 0, 0.0003289, 1.531e-06, -4.535e-06, 1.551e-24 ;
-2, -1.36, 0, 0.0003423, 1.525e-06, -4.719e-06, 1.611e-24 ;
-2, -1.32, 0, 0.0003557, 1.513e-06, -4.903e-06, 1.671e-24 ;
-2, -1.28, 0, 0.0003689, 1.495e-06, -5.085e-06, 1.73e-24 ;
-2, -1.24, 0, 0.0003819, 1.472e-06, -5.265e-06, 1.788e-24 ;
-2, -1.2, 0, 0.0003948, 1.442e-06, -5.442e-06, 1.845e-24 ;
-2, -1.16, 0, 0.0004073, 1.407e-06, -5.616e-06, 1.901e-24 ;
-2, -1.12, 0, 0.0004196, 1.365e-06, -5.784e-06, 1.955e-24 ;
