% x, y, z, rho, j_x, j_y, j_z ;
0, -1, -1, 0.2239, 0, 0, -0 ;
0, -0.98, -1, 0.2327, 0, 0, -0 ;
0, -0.96, -1, 0.2415, 0, 0, -0 ;
0, -0.94, -1, 0.2503, 0, 0, -0 ;
0, -0.92, -1, 0.259, 0, 0, -0 ;
0, -0.9, -1, 0.2676, 0, 0, -0 ;
0, -0.88, -1, 0.276, 0, 0, -0 ;
0, -0.86, -1, 0.2843, 0, 0, -0 ;
0, -0.84, -1, 0.2924, 0, 0, -0 ;
0, -0.82, -1, 0.3002, 0, 0, -0 ;
0, -0.8, -1, 0.3077, 0, 0, -0 ;
0, -0.78, -1, 0.315, 0, 0, -0 ;
0, -0.76, -1, 0.3218, 0, 0, -0 ;
0, -0.74, -1, 0.3284, 0, 0, -0 ;
0, -0.72, -1, 0.3345, 0, 0, -0 ;
0, -0.7, -1, 0.3403, 0, 0, -0 ;
0, -0.68, -1, 0.3456, 0, 0, -0 ;
0, -0.66, -1, 0.3505, 0, 0, -0 ;
0, -0.64, -1, 0.3551, 0, 0, -0 ;
0, -0.62, -1, 0.3592, 0, 0, -0 ;
0, -0.6, -1, 0.363, 0, 0, -0 ;
0, -0.58, -1, 0.3664, 0, 0, -0 ;
0, -0.56, -1, 0.3694, 0, 0, -0 ;
0, -0.54, -1, 0.3721, 0, 0, -0 ;
0, -0.52, -1, 0.3745, 0, 0, -0 ;
0, -0.5, -1, 0.3765, 0, 0, -0 ;
0, -0.48, -1, 0.3783, 0, 0, -0 ;
0, -0.46, -1, 0.3798, 0, 0, -0 ;
0, -0.44, -1, 0.381, 0, 0, -0 ;
0, -0.42, -1, 0.382, 0, 0, -0 ;
0, -0.4, -1, 0.3828, 0, 0, -0 ;
0, -0.38, -1, 0.3834, 0, 0, -0 ;
0, -0.36, -1, 0.3839, 0, 0, -0 ;
0, -0.34, -1, 0.3841, 0, 0, -0 ;
0, -0.32, -1, 0.3842, 0, 0, -0 ;
0, -0.3, -1, 0.3842, 0, 0, -0 ;
0, -0.28, -1, 0.3841, 0, 0, -0 ;
0, -0.26, -1, 0.3839, 0, 0, -0 ;
0, -0.24, -1, 0.3837, 0, 0, -0 ;
0, -0.22, -1, 0.3834, 0, 0, -0 ;
0, -0.2, -1, 0.383, 0, 0, -0 ;
0, -0.18, -1, 0.3826, 0, 0, -0 ;
0, -0.16, -1, 0.3823, 0, 0, -0 ;
