% x, y, z, rho, j_x, j_y, j_z ;
-2, -2, 0, 0.0002282, -2.328e-20, -6.099e-20, -0.0002282 ;
-2, -1.96, 0, 0.0002536, -3.059e-20, -6.607e-20, -0.0002485 ;
-2, -1.92, 0, 0.0002812, -1.771e-20, -6.776e-20, -0.0002699 ;
-2, -1.88, 0, 0.000311, -3.119e-20, -9.148e-20, -0.0002923 ;
-2, -1.84, 0, 0.0003432, -3.86e-20, -9.826e-20, -0.0003157 ;
-2, -1.8, 0, 0.0003778, -3.227e-20, -9.826e-20, -0.00034 ;
-2, -1.76, 0, 0.000415, -5.193e-20, -1.118e-19, -0.0003652 ;
-2, -1.72, 0, 0.0004548, -3.853e-20, -1.22e-19, -0.0003911 ;
-2, -1.68, 0, 0.0004973, -2.544e-20, -1.152e-19, -0.0004177 ;
-2, -1.64, 0, 0.0005427, -5.928e-20, -1.287e-19, -0.000445 ;
-2, -1.6, 0, 0.0005909, -2.511e-20, -1.084e-19, -0.0004727 ;
-2, -1.56, 0, 0.0006421, -3.2e-20, -1.355e-19, -0.0005008 ;
-2, -1.52, 0, 0.0006962, -3.913e-20, -1.559e-19, -0.0005291 ;
-2, -1.48, 0, 0.0007535, -5.861e-20, -1.491e-19, -0.0005576 ;
-2, -1.44, 0, 0.0008137, -5.215e-20, -1.626e-19, -0.0005859 ;
-2, -1.4, 0, 0.0008771, -3.398e-20, -1.626e-19, -0.000614 ;
-2, -1.36, 0, 0.0009435, -4.271e-20, -1.897e-19, -0.0006416 ;
-2, -1.32, 0, 0.001013, -6.481e-20, -1.965e-19, -0.0006686 ;
-2, -1.28, 0, 0.001086, -7.367e-20, -2.168e-19, -0.0006947 ;
-2, -1.24, 0, 0.001161, -8.331e-20, -2.304e-19, -0.0007198 ;
-2, -1.2, 0, 0.001239, -6.965e-20, -2.439e-19, -0.0007436 ;
-2, -1.16, 0, 0.00132, -6.536e-20, -2.439e-19, -0.0007659 ;
-2, -1.12, 0, 0.001404, -3.577e-20, -2.168e-19, -0.0007864 ;
-2, -1.08, 0, 0.00149, -7.708e-20, -2.575e-19, -0.0008049 ;
-2, -1.04, 0, 0.001579, -1.25e-19, -2.846e-19, -0.0008211 ;
-2, -1, 0, 0.00167, -4.95e-20, -2.846e-19, -0.0008348 ;
-2, -0.96, 0, 0.001762, -7.517e-20, -2.711e-19, -0.0008458 ;
-2, -0.92, 0, 0.001856, -6.315e-20, -2.846e-19, -0.0008538 ;
-2, -0.88, 0, 0.001951, -9.395e-20, -3.117e-19, -0.0008586 ;
-2, -0.84, 0, 0.002047, -7.383e-20, -2.982e-19, -0.0008599 ;
-2, -0.8, 0, 0.002144, -6.233e-20, -3.253e-19, -0.0008576 ;
-2, -0.76, 0, 0.002241, -3.537e-20, -3.253e-19, -0.0008515 ;
-2, -0.72, 0, 0.002337, -3.217e-20, -3.253e-19, -0.0008413 ;
-2, -0.68, 0, 0.002433, -4.111e-20, -3.524e-19, -0.0008271 ;
-2, -0.64, 0, 0.002527, -2.03e-20, -4.066e-19, -0.0008085 ;
