% x, y, z, rho, j_x, j_y, j_z ;
-2, -2, 0, 0.0002282, -4.117e-19, -1.544e-19, 0.0002282 ;
-2, -1.96, 0, 0.0002536, -4.676e-19, -1.797e-19, 0.0002536 ;
-2, -1.92, 0, 0.0002812, -4.913e-19, -1.835e-19, 0.0002812 ;
-2, -1.88, 0, 0.000311, -5.353e-19, -1.934e-19, 0.000311 ;
-2, -1.84, 0, 0.0003432, -5.59e-19, -2.093e-19, 0.0003432 ;
-2, -1.8, 0, 0.0003778, -6.268e-19, -2.163e-19, 0.0003778 ;
-2, -1.76, 0, 0.000415, -6.675e-19, -2.237e-19, 0.000415 ;
-2, -1.72, 0, 0.0004548, -7.251e-19, -2.375e-19, 0.0004548 ;
-2, -1.68, 0, 0.0004973, -7.86e-19, -2.719e-19, 0.0004973 ;
-2, -1.64, 0, 0.0005427, -8.47e-19, -2.726e-19, 0.0005427 ;
-2, -1.6, 0, 0.0005909, -9.216e-19, -2.589e-19, 0.0005909 ;
-2, -1.56, 0, 0.0006421, -1.003e-18, -3.142e-19, 0.0006421 ;
-2, -1.52, 0, 0.0006962, -1.01e-18, -2.764e-19, 0.0006962 ;
-2, -1.48, 0, 0.0007535, -1.118e-18, -3.338e-19, 0.0007535 ;
-2, -1.44, 0, 0.0008137, -1.213e-18, -3.223e-19, 0.0008137 ;
-2, -1.4, 0, 0.0008771, -1.315e-18, -3.718e-19, 0.0008771 ;
-2, -1.36, 0, 0.0009435, -1.389e-18, -3.434e-19, 0.0009435 ;
-2, -1.32, 0, 0.001013, -1.47e-18, -3.676e-19, 0.001013 ;
-2, -1.28, 0, 0.001086, -1.586e-18, -3.813e-19, 0.001086 ;
-2, -1.24, 0, 0.001161, -1.708e-18, -4.114e-19, 0.001161 ;
-2, -1.2, 0, 0.001239, -1.775e-18, -4.337e-19, 0.001239 ;
-2, -1.16, 0, 0.00132, -1.924e-18, -4.287e-19, 0.00132 ;
-2, -1.12, 0, 0.001404, -1.965e-18, -4.72e-19, 0.001404 ;
-2, -1.08, 0, 0.00149, -2.074e-18, -4.5e-19, 0.00149 ;
-2, -1.04, 0, 0.001579, -2.209e-18, -4.691e-19, 0.001579 ;
-2, -1, 0, 0.00167, -2.358e-18, -4.945e-19, 0.00167 ;
-2, -0.96, 0, 0.001762, -2.548e-18, -5.069e-19, 0.001762 ;
-2, -0.92, 0, 0.001856, -2.629e-18, -4.928e-19, 0.001856 ;
-2, -0.88, 0, 0.001951, -2.629e-18, -4.572e-19, 0.001951 ;
-2, -0.84, 0, 0.002047, -3.036e-18, -5.541e-19, 0.002047 ;
