% x, y, z, rho, j_x, j_y, j_z ;
-2, -2, 0, 0.0002282, 0.0002282, -0.0002282, 1.527e-21 ;
-2, -1.96, 0, 0.0002536, 0.0002485, -0.0002536, 1.674e-21 ;
-2, -1.92, 0, 0.0002812, 0.0002699, -0.0002812, 1.832e-21 ;
-2, -1.88, 0, 0.000311, 0.0002923, -0.000311, 2.001e-21 ;
-2, -1.84, 0, 0.0003432, 0.0003157, -0.0003432, 2.181e-21 ;
-2, -1.8, 0, 0.0003778, 0.00034, -0.0003778, 2.373e-21 ;
-2, -1.76, 0, 0.000415, 0.0003652, -0.000415, 2.576e-21 ;
-2, -1.72, 0, 0.0004548, 0.0003911, -0.0004548, 2.792e-21 ;
-2, -1.68, 0, 0.0004973, 0.0004177, -0.0004973, 3.021e-21 ;
-2, -1.64, 0, 0.0005427, 0.000445, -0.0005427, 3.262e-21 ;
-2, -1.6, 0, 0.0005909, 0.0004727, -0.0005909, 3.516e-21 ;
-2, -1.56, 0, 0.0006421, 0.0005008, -0.0006421, 3.782e-21 ;
-2, -1.52, 0, 0.0006962, 0.0005291, -0.0006962, 4.062e-21 ;
-2, -1.48, 0, 0.0007535, 0.0005576, -0.0007535, 4.355e-21 ;
-2, -1.44, 0, 0.0008137, 0.0005859, -0.0008137, 4.661e-21 ;
-2, -1.4, 0, 0.0008771, 0.000614, -0.0008771, 4.979e-21 ;
-2, -1.36, 0, 0.0009435, 0.0006416, -0.0009435, 5.31e-21 ;
-2, -1.32, 0, 0.001013, 0.0006686, -0.001013, 5.654e-21 ;
-2, -1.28, 0, 0.001086, 0.0006947, -0.001086, 6.009e-21 ;
-2, -1.24, 0, 0.001161, 0.0007198, -0.001161, 6.376e-21 ;
-2, -1.2, 0, 0.001239, 0.0007436, -0.001239, 6.754e-21 ;
-2, -1.16, 0, 0.00132, 0.0007659, -0.00132, 7.142e-21 ;
-2, -1.12, 0, 0.001404, 0.0007864, -0.001404, 7.54e-21 ;
-2, -1.08, 0, 0.00149, 0.0008049, -0.00149, 7.946e-21 ;
-2, -1.04, 0, 0.001579, 0.0008211, -0.001579, 8.36e-21 ;
-2, -1, 0, 0.00167, 0.0008348, -0.00167, 8.781e-21 ;
-2, -0.96, 0, 0.001762, 0.0008458, -0.001762, 9.208e-21 ;
-2, -0.92, 0, 0.001856, 0.0008538, -0.001856, 9.638e-21 ;
-2, -0.88, 0, 0.001951, 0.0008586, -0.001951, 1.007e-20 ;
-2, -0.84, 0, 0.002047, 0.0008599, -0.002047, 1.051e-20 ;
-2, -0.8, 0, 0.002144, 0.0008576, -0.002144, 1.094e-20 ;
-2, -0.76, 0, 0.002241, 0.0008515, -0.002241, 1.137e-20 ;
-2, -0.72, 0, 0.002337, 0.0008413, -0.002337, 1.18e-20 ;
-2, -0.68, 0, 0.002433, 0.0008271, -0.002433, 1.222e-20 ;
-2, -0.64, 0, 0.002527, 0.0008085, -0.002527, 1.263e-20 ;
-2, -0.6, 0, 0.002619, 0.0007857, -0.002619, 1.304e-20 ;
-2, -0.56, 0, 0.002709, 0.0007585, -0.002709, 1.343e-20 ;
-2, -0.52, 0, 0.002796, 0.0007269, -0.002796, 1.38e-20 ;
-2, -0.48, 0, 0.002879, 0.000691, -0.002879, 1.416e-20 ;
-2, -0.44, 0, 0.002959, 0.0006509, -0.002959, 1.45e-20 ;
-2, -0.4, 0, 0.003033, 0.0006066, -0.003033, 1.482e-20 ;
-2, -0.36, 0, 0.003103, 0.0005585, -0.003103, 1.512e-20 ;
-2, -0.32, 0, 0.003166, 0.0005066, -0.003166, 1.539e-20 ;
-2, -0.28, 0, 0.003224, 0.0004514, -0.003224, 1.564e-20 ;
-2, -0.24, 0, 0.003275, 0.000393, -0.003275, 1.585e-20 ;
-2, -0.2, 0, 0.003319, 0.0003319, -0.003319, 1.604e-20 ;
-2, -0.16, 0, 0.003355, 0.0002684, -0.003355, 1.619e-20 ;
-2, -0.12, 0, 0.003384, 0.000203, -0.003384, 1.631e-20 ;
-2, -0.08, 0, 0.003404, 0.0001362, -0.003404, 1.64e-20 ;
-2, -0.04, 0, 0.003417, 6.834e-05, -0.003417, 1.645e-20 ;
-2, 0, 0, 0.003421, 1.345e-19, -0.003421, 1.647e-20 ;
-2, 0.04, 0, 0.003417, -6.834e-05, -0.003417, 1.645e-20 ;
-2, 0.08, 0, 0.003404, -0.0001362, -0.003404, 1.64e-20 ;
-2, 0.12, 0, 0.003384, -0.000203, -0.003384, 1.631e-20 ;
-2, 0.16, 0, 0.003355, -0.0002684, -0.003355, 1.619e-20 ;
-2, 0.2, 0, 0.003319, -0.0003319, -0.003319, 1.604e-20 ;
