% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 2.125e-12, 1.064e-12, -1.061e-12, 1.246e-33 ;
-10, -9.8, 0, 2.691e-12, 1.32e-12, -1.343e-12, 2.446e-33 ;
-10, -9.6, 0, 3.39e-12, 1.63e-12, -1.692e-12, 4.736e-33 ;
-10, -9.4, 0, 4.251e-12, 2.001e-12, -2.122e-12, 9.044e-33 ;
-10, -9.2, 0, 5.305e-12, 2.444e-12, -2.648e-12, 1.704e-32 ;
-10, -9, 0, 6.589e-12, 2.97e-12, -3.289e-12, 3.166e-32 ;
-10, -8.8, 0, 8.144e-12, 3.589e-12, -4.066e-12, 5.804e-32 ;
-10, -8.6, 0, 1.002e-11, 4.315e-12, -5.002e-12, 1.049e-31 ;
-10, -8.4, 0, 1.227e-11, 5.161e-12, -6.124e-12, 1.872e-31 ;
-10, -8.2, 0, 1.495e-11, 6.139e-12, -7.463e-12, 3.293e-31 ;
-10, -8, 0, 1.813e-11, 7.264e-12, -9.051e-12, 5.715e-31 ;
-10, -7.8, 0, 2.188e-11, 8.549e-12, -1.092e-11, 9.784e-31 ;
-10, -7.6, 0, 2.629e-11, 1.001e-11, -1.312e-11, 1.652e-30 ;
-10, -7.4, 0, 3.143e-11, 1.165e-11, -1.569e-11, 2.752e-30 ;
-10, -7.2, 0, 3.74e-11, 1.348e-11, -1.867e-11, 4.523e-30 ;
-10, -7, 0, 4.429e-11, 1.553e-11, -2.211e-11, 7.33e-30 ;
-10, -6.8, 0, 5.22e-11, 1.778e-11, -2.606e-11, 1.172e-29 ;
-10, -6.6, 0, 6.123e-11, 2.024e-11, -3.056e-11, 1.848e-29 ;
-10, -6.4, 0, 7.147e-11, 2.291e-11, -3.568e-11, 2.876e-29 ;
-10, -6.2, 0, 8.304e-11, 2.578e-11, -4.145e-11, 4.413e-29 ;
-10, -6, 0, 9.601e-11, 2.885e-11, -4.793e-11, 6.68e-29 ;
-10, -5.8, 0, 1.105e-10, 3.209e-11, -5.516e-11, 9.974e-29 ;
-10, -5.6, 0, 1.265e-10, 3.549e-11, -6.317e-11, 1.469e-28 ;
-10, -5.4, 0, 1.442e-10, 3.9e-11, -7.2e-11, 2.134e-28 ;
-10, -5.2, 0, 1.636e-10, 4.261e-11, -8.167e-11, 3.059e-28 ;
-10, -5, 0, 1.847e-10, 4.625e-11, -9.22e-11, 4.324e-28 ;
-10, -4.8, 0, 2.075e-10, 4.988e-11, -1.036e-10, 6.03e-28 ;
-10, -4.6, 0, 2.32e-10, 5.345e-11, -1.158e-10, 8.294e-28 ;
-10, -4.4, 0, 2.582e-10, 5.689e-11, -1.289e-10, 1.125e-27 ;
-10, -4.2, 0, 2.859e-10, 6.014e-11, -1.427e-10, 1.506e-27 ;
