% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 2.352e-12, 1.831e-33, 7.889e-30, -1.176e-12 ;
-10, -9.8, 0, 2.977e-12, -6.307e-30, 3.155e-30, -1.459e-12 ;
-10, -9.6, 0, 3.749e-12, 6.764e-33, -3.155e-30, -1.8e-12 ;
-10, -9.4, 0, 4.7e-12, -3.785e-29, -1.893e-29, -2.209e-12 ;
-10, -9.2, 0, 5.864e-12, 2.29e-32, -3.155e-29, -2.697e-12 ;
-10, -9, 0, 7.282e-12, 2.529e-29, -1.262e-29, -3.277e-12 ;
-10, -8.8, 0, 8.999e-12, 7.529e-32, -3.787e-29, -3.959e-12 ;
-10, -8.6, 0, 1.107e-11, 1.338e-31, 3.787e-29, -4.759e-12 ;
-10, -8.4, 0, 1.355e-11, 5.072e-29, 2.524e-29, -5.69e-12 ;
-10, -8.2, 0, 1.651e-11, -5.009e-29, -5.049e-29, -6.768e-12 ;
-10, -8, 0, 2.001e-11, 6.833e-31, 0, -8.006e-12 ;
-10, -7.8, 0, 2.415e-11, 1.148e-30, -1.01e-28, -9.42e-12 ;
-10, -7.6, 0, 2.901e-11, -9.911e-29, 2.524e-29, -1.102e-11 ;
-10, -7.4, 0, 3.468e-11, 3.033e-30, -5.049e-29, -1.283e-11 ;
-10, -7.2, 0, 4.125e-11, 1.058e-28, 1.01e-28, -1.485e-11 ;
-10, -7, 0, 4.884e-11, 2.097e-28, 1.515e-28, -1.709e-11 ;
-10, -6.8, 0, 5.755e-11, -8.909e-29, -5.049e-29, -1.957e-11 ;
-10, -6.6, 0, 6.749e-11, 1.193e-28, 1.515e-28, -2.227e-11 ;
-10, -6.4, 0, 7.878e-11, -1.744e-28, 0, -2.521e-11 ;
-10, -6.2, 0, 9.151e-11, 2.43e-28, 2.019e-28, -2.837e-11 ;
-10, -6, 0, 1.058e-10, 2.627e-28, 3.029e-28, -3.174e-11 ;
-10, -5.8, 0, 1.217e-10, 8.829e-29, 2.019e-28, -3.53e-11 ;
-10, -5.6, 0, 1.394e-10, 3.267e-28, -2.019e-28, -3.903e-11 ;
-10, -5.4, 0, 1.588e-10, 1.752e-28, 2.019e-28, -4.289e-11 ;
-10, -5.2, 0, 1.802e-10, 4.446e-28, 0, -4.684e-11 ;
-10, -5, 0, 2.034e-10, 1.274e-28, -2.019e-28, -5.084e-11 ;
-10, -4.8, 0, 2.284e-10, 6.472e-28, 4.039e-28, -5.483e-11 ;
-10, -4.6, 0, 2.554e-10, 1.843e-28, 4.039e-28, -5.874e-11 ;
-10, -4.4, 0, 2.842e-10, 1.17e-27, 0, -6.252e-11 ;
-10, -4.2, 0, 3.147e-10, 1.633e-28, 1.212e-27, -6.608e-11 ;
-10, -4, 0, 3.468e-10, 8.195e-28, 8.078e-28, -6.935e-11 ;
-10, -3.8, 0, 3.803e-10, 7.179e-28, 4.039e-28, -7.226e-11 ;
-10, -3.6, 0, 4.151e-10, 2.264e-27, 4.039e-28, -7.471e-11 ;
-10, -3.4, 0, 4.509e-10, 1.82e-27, 4.039e-28, -7.665e-11 ;
-10, -3.2, 0, 4.874e-10, 2.226e-27, 4.039e-28, -7.799e-11 ;
-10, -3, 0, 5.244e-10, 1.434e-27, 4.039e-28, -7.866e-11 ;
-10, -2.8, 0, 5.615e-10, 2.657e-27, 8.078e-28, -7.861e-11 ;
-10, -2.6, 0, 5.984e-10, 3.054e-27, 0, -7.779e-11 ;
-10, -2.4, 0, 6.346e-10, 2.628e-27, 0, -7.615e-11 ;
-10, -2.2, 0, 6.698e-10, 3.723e-27, -8.078e-28, -7.368e-11 ;
-10, -2, 0, 7.037e-10, 4.363e-27, -8.078e-28, -7.037e-11 ;
