% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 2.017e-12, 0, 0, 0 ;
-10, -9.8, 0, 2.553e-12, 0, 0, 0 ;
-10, -9.6, 0, 3.216e-12, 0, 0, 0 ;
-10, -9.4, 0, 4.032e-12, 0, 0, 0 ;
-10, -9.2, 0, 5.03e-12, 0, 0, 0 ;
-10, -9, 0, 6.246e-12, 0, 0, 0 ;
-10, -8.8, 0, 7.719e-12, 0, 0, 0 ;
-10, -8.6, 0, 9.494e-12, 0, 0, 0 ;
-10, -8.4, 0, 1.162e-11, 0, 0, 0 ;
-10, -8.2, 0, 1.416e-11, 0, 0, 0 ;
-10, -8, 0, 1.717e-11, 0, 0, 0 ;
-10, -7.8, 0, 2.072e-11, 0, 0, 0 ;
-10, -7.6, 0, 2.488e-11, 0, 0, 0 ;
-10, -7.4, 0, 2.974e-11, 0, 0, 0 ;
-10, -7.2, 0, 3.539e-11, 0, 0, 0 ;
-10, -7, 0, 4.19e-11, 0, 0, 0 ;
-10, -6.8, 0, 4.937e-11, 0, 0, 0 ;
-10, -6.6, 0, 5.79e-11, 0, 0, 0 ;
-10, -6.4, 0, 6.758e-11, 0, 0, 0 ;
-10, -6.2, 0, 7.85e-11, 0, 0, 0 ;
-10, -6, 0, 9.075e-11, 0, 0, 0 ;
-10, -5.8, 0, 1.044e-10, 0, 0, 0 ;
-10, -5.6, 0, 1.196e-10, 0, 0, 0 ;
-10, -5.4, 0, 1.362e-10, 0, 0, 0 ;
-10, -5.2, 0, 1.545e-10, 0, 0, 0 ;
-10, -5, 0, 1.744e-10, 0, 0, 0 ;
-10, -4.8, 0, 1.959e-10, 0, 0, 0 ;
-10, -4.6, 0, 2.191e-10, 0, 0, 0 ;
-10, -4.4, 0, 2.437e-10, 0, 0, 0 ;
-10, -4.2, 0, 2.699e-10, 0, 0, 0 ;
-10, -4, 0, 2.974e-10, 0, 0, 0 ;
-10, -3.8, 0, 3.261e-10, 0, 0, 0 ;
-10, -3.6, 0, 3.56e-10, 0, 0, 0 ;
-10, -3.4, 0, 3.866e-10, 0, 0, 0 ;
-10, -3.2, 0, 4.18e-10, 0, 0, 0 ;
-10, -3, 0, 4.497e-10, 0, 0, 0 ;
-10, -2.8, 0, 4.815e-10, 0, 0, 0 ;
-10, -2.6, 0, 5.13e-10, 0, 0, 0 ;
-10, -2.4, 0, 5.441e-10, 0, 0, 0 ;
-10, -2.2, 0, 5.743e-10, 0, 0, 0 ;
-10, -2, 0, 6.033e-10, 0, 0, 0 ;
-10, -1.8, 0, 6.307e-10, 0, 0, 0 ;
-10, -1.6, 0, 6.563e-10, 0, 0, 0 ;
-10, -1.4, 0, 6.797e-10, 0, 0, 0 ;
-10, -1.2, 0, 7.007e-10, 0, 0, 0 ;
-10, -1, 0, 7.189e-10, 0, 0, 0 ;
-10, -0.8, 0, 7.341e-10, 0, 0, 0 ;
-10, -0.6, 0, 7.462e-10, 0, 0, 0 ;
-10, -0.4, 0, 7.55e-10, 0, 0, 0 ;
-10, -0.2, 0, 7.602e-10, 0, 0, 0 ;
-10, 0, 0, 7.62e-10, -0, 0, 0 ;
-10, 0.2, 0, 7.602e-10, -0, 0, 0 ;
-10, 0.4, 0, 7.55e-10, -0, 0, 0 ;
-10, 0.6, 0, 7.462e-10, -0, 0, 0 ;
-10, 0.8, 0, 7.341e-10, -0, 0, 0 ;
-10, 1, 0, 7.189e-10, -0, 0, 0 ;
-10, 1.2, 0, 7.007e-10, -0, 0, 0 ;
-10, 1.4, 0, 6.797e-10, -0, 0, 0 ;
-10, 1.6, 0, 6.563e-10, -0, 0, 0 ;
-10, 1.8, 0, 6.307e-10, -0, 0, 0 ;
-10, 2, 0, 6.033e-10, -0, 0, 0 ;
-10, 2.2, 0, 5.743e-10, -0, 0, 0 ;
-10, 2.4, 0, 5.441e-10, -0, 0, 0 ;
-10, 2.6, 0, 5.13e-10, -0, 0, 0 ;
-10, 2.8, 0, 4.815e-10, -0, 0, 0 ;
-10, 3, 0, 4.497e-10, -0, 0, 0 ;
-10, 3.2, 0, 4.18e-10, -0, 0, 0 ;
-10, 3.4, 0, 3.866e-10, -0, 0, 0 ;
-10, 3.6, 0, 3.56e-10, -0, 0, 0 ;
-10, 3.8, 0, 3.261e-10, -0, 0, 0 ;
-10, 4, 0, 2.974e-10, -0, 0, 0 ;
-10, 4.2, 0, 2.699e-10, -0, 0, 0 ;
-10, 4.4, 0, 2.437e-10, -0, 0, 0 ;
-10, 4.6, 0, 2.191e-10, -0, 0, 0 ;
-10, 4.8, 0, 1.959e-10, -0, 0, 0 ;
-10, 5, 0, 1.744e-10, -0, 0, 0 ;
-10, 5.2, 0, 1.545e-10, -0, 0, 0 ;
-10, 5.4, 0, 1.362e-10, -0, 0, 0 ;
-10, 5.6, 0, 1.196e-10, -0, 0, 0 ;
-10, 5.8, 0, 1.044e-10, -0, 0, 0 ;
-10, 6, 0, 9.075e-11, -0, 0, 0 ;
-10, 6.2, 0, 7.85e-11, -0, 0, 0 ;
-10, 6.4, 0, 6.758e-11, -0, 0, 0 ;
-10, 6.6, 0, 5.79e-11, -0, 0, 0 ;
-10, 6.8, 0, 4.937e-11, -0, 0, 0 ;
-10, 7, 0, 4.19e-11, -0, 0, 0 ;
-10, 7.2, 0, 3.539e-11, -0, 0, 0 ;
-10, 7.4, 0, 2.974e-11, -0, 0, 0 ;
-10, 7.6, 0, 2.488e-11, -0, 0, 0 ;
-10, 7.8, 0, 2.072e-11, -0, 0, 0 ;
-10, 8, 0, 1.717e-11, -0, 0, 0 ;
-10, 8.2, 0, 1.416e-11, -0, 0, 0 ;
-10, 8.4, 0, 1.162e-11, -0, 0, 0 ;
-10, 8.6, 0, 9.494e-12, -0, 0, 0 ;
-10, 8.8, 0, 7.719e-12, -0, 0, 0 ;
-10, 9, 0, 6.246e-12, -0, 0, 0 ;
-10, 9.2, 0, 5.03e-12, -0, 0, 0 ;
-10, 9.4, 0, 4.032e-12, -0, 0, 0 ;
-10, 9.6, 0, 3.216e-12, -0, 0, 0 ;
-10, 9.8, 0, 2.553e-12, -0, 0, 0 ;
-10, 10, 0, 2.017e-12, -0, 0, 0 ;
-9.798, -10, 0, 2.558e-12, 0, 0, 0 ;
-9.798, -9.8, 0, 3.238e-12, 0, 0, 0 ;
-9.798, -9.6, 0, 4.078e-12, 0, 0, 0 ;
-9.798, -9.4, 0, 5.113e-12, 0, 0, 0 ;
-9.798, -9.2, 0, 6.379e-12, 0, 0, 0 ;
-9.798, -9, 0, 7.921e-12, 0, 0, 0 ;
-9.798, -8.8, 0, 9.789e-12, 0, 0, 0 ;
-9.798, -8.6, 0, 1.204e-11, 0, 0, 0 ;
-9.798, -8.4, 0, 1.474e-11, 0, 0, 0 ;
-9.798, -8.2, 0, 1.796e-11, 0, 0, 0 ;
-9.798, -8, 0, 2.177e-11, 0, 0, 0 ;
-9.798, -7.8, 0, 2.627e-11, 0, 0, 0 ;
-9.798, -7.6, 0, 3.155e-11, 0, 0, 0 ;
-9.798, -7.4, 0, 3.772e-11, 0, 0, 0 ;
-9.798, -7.2, 0, 4.487e-11, 0, 0, 0 ;
-9.798, -7, 0, 5.312e-11, 0, 0, 0 ;
-9.798, -6.8, 0, 6.26e-11, 0, 0, 0 ;
-9.798, -6.6, 0, 7.341e-11, 0, 0, 0 ;
-9.798, -6.4, 0, 8.568e-11, 0, 0, 0 ;
-9.798, -6.2, 0, 9.952e-11, 0, 0, 0 ;
-9.798, -6, 0, 1.151e-10, 0, 0, 0 ;
-9.798, -5.8, 0, 1.324e-10, 0, 0, 0 ;
-9.798, -5.6, 0, 1.516e-10, 0, 0, 0 ;
-9.798, -5.4, 0, 1.727e-10, 0, 0, 0 ;
-9.798, -5.2, 0, 1.959e-10, 0, 0, 0 ;
-9.798, -5, 0, 2.211e-10, 0, 0, 0 ;
-9.798, -4.8, 0, 2.483e-10, 0, 0, 0 ;
-9.798, -4.6, 0, 2.775e-10, 0, 0, 0 ;
-9.798, -4.4, 0, 3.087e-10, 0, 0, 0 ;
-9.798, -4.2, 0, 3.418e-10, 0, 0, 0 ;
-9.798, -4, 0, 3.766e-10, 0, 0, 0 ;
-9.798, -3.8, 0, 4.129e-10, 0, 0, 0 ;
-9.798, -3.6, 0, 4.506e-10, 0, 0, 0 ;
-9.798, -3.4, 0, 4.893e-10, 0, 0, 0 ;
-9.798, -3.2, 0, 5.288e-10, 0, 0, 0 ;
-9.798, -3, 0, 5.687e-10, 0, 0, 0 ;
-9.798, -2.8, 0, 6.087e-10, 0, 0, 0 ;
-9.798, -2.6, 0, 6.484e-10, 0, 0, 0 ;
-9.798, -2.4, 0, 6.875e-10, 0, 0, 0 ;
-9.798, -2.2, 0, 7.254e-10, 0, 0, 0 ;
-9.798, -2, 0, 7.617e-10, 0, 0, 0 ;
-9.798, -1.8, 0, 7.962e-10, 0, 0, 0 ;
-9.798, -1.6, 0, 8.282e-10, 0, 0, 0 ;
-9.798, -1.4, 0, 8.575e-10, 0, 0, 0 ;
-9.798, -1.2, 0, 8.837e-10, 0, 0, 0 ;
-9.798, -1, 0, 9.065e-10, 0, 0, 0 ;
-9.798, -0.8, 0, 9.256e-10, 0, 0, 0 ;
-9.798, -0.6, 0, 9.406e-10, 0, 0, 0 ;
-9.798, -0.4, 0, 9.515e-10, 0, 0, 0 ;
-9.798, -0.2, 0, 9.581e-10, 0, 0, 0 ;
-9.798, 0, 0, 9.604e-10, -0, 0, 0 ;
-9.798, 0.2, 0, 9.581e-10, -0, 0, 0 ;
-9.798, 0.4, 0, 9.515e-10, -0, 0, 0 ;
-9.798, 0.6, 0, 9.406e-10, -0, 0, 0 ;
-9.798, 0.8, 0, 9.256e-10, -0, 0, 0 ;
-9.798, 1, 0, 9.065e-10, -0, 0, 0 ;
-9.798, 1.2, 0, 8.837e-10, -0, 0, 0 ;
-9.798, 1.4, 0, 8.575e-10, -0, 0, 0 ;
-9.798, 1.6, 0, 8.282e-10, -0, 0, 0 ;
-9.798, 1.8, 0, 7.962e-10, -0, 0, 0 ;
-9.798, 2, 0, 7.617e-10, -0, 0, 0 ;
-9.798, 2.2, 0, 7.254e-10, -0, 0, 0 ;
-9.798, 2.4, 0, 6.875e-10, -0, 0, 0 ;
-9.798, 2.6, 0, 6.484e-10, -0, 0, 0 ;
-9.798, 2.8, 0, 6.087e-10, -0, 0, 0 ;
-9.798, 3, 0, 5.687e-10, -0, 0, 0 ;
-9.798, 3.2, 0, 5.288e-10, -0, 0, 0 ;
-9.798, 3.4, 0, 4.893e-10, -0, 0, 0 ;
-9.798, 3.6, 0, 4.506e-10, -0, 0, 0 ;
-9.798, 3.8, 0, 4.129e-10, -0, 0, 0 ;
-9.798, 4, 0, 3.766e-10, -0, 0, 0 ;
-9.798, 4.2, 0, 3.418e-10, -0, 0, 0 ;
-9.798, 4.4, 0, 3.087e-10, -0, 0, 0 ;
-9.798, 4.6, 0, 2.775e-10, -0, 0, 0 ;
-9.798, 4.8, 0, 2.483e-10, -0, 0, 0 ;
-9.798, 5, 0, 2.211e-10, -0, 0, 0 ;
-9.798, 5.2, 0, 1.959e-10, -0, 0, 0 ;
-9.798, 5.4, 0, 1.727e-10, -0, 0, 0 ;
-9.798, 5.6, 0, 1.516e-10, -0, 0, 0 ;
-9.798, 5.8, 0, 1.324e-10, -0, 0, 0 ;
-9.798, 6, 0, 1.151e-10, -0, 0, 0 ;
-9.798, 6.2, 0, 9.952e-11, -0, 0, 0 ;
-9.798, 6.4, 0, 8.568e-11, -0, 0, 0 ;
-9.798, 6.6, 0, 7.341e-11, -0, 0, 0 ;
-9.798, 6.8, 0, 6.26e-11, -0, 0, 0 ;
-9.798, 7, 0, 5.312e-11, -0, 0, 0 ;
-9.798, 7.2, 0, 4.487e-11, -0, 0, 0 ;
-9.798, 7.4, 0, 3.772e-11, -0, 0, 0 ;
-9.798, 7.6, 0, 3.155e-11, -0, 0, 0 ;
-9.798, 7.8, 0, 2.627e-11, -0, 0, 0 ;
-9.798, 8, 0, 2.177e-11, -0, 0, 0 ;
-9.798, 8.2, 0, 1.796e-11, -0, 0, 0 ;
-9.798, 8.4, 0, 1.474e-11, -0, 0, 0 ;
-9.798, 8.6, 0, 1.204e-11, -0, 0, 0 ;
-9.798, 8.8, 0, 9.789e-12, -0, 0, 0 ;
-9.798, 9, 0, 7.921e-12, -0, 0, 0 ;
-9.798, 9.2, 0, 6.379e-12, -0, 0, 0 ;
-9.798, 9.4, 0, 5.113e-12, -0, 0, 0 ;
-9.798, 9.6, 0, 4.078e-12, -0, 0, 0 ;
-9.798, 9.8, 0, 3.238e-12, -0, 0, 0 ;
-9.798, 10, 0, 2.558e-12, -0, 0, 0 ;
-9.596, -10, 0, 3.229e-12, 0, 0, 0 ;
-9.596, -9.8, 0, 4.086e-12, 0, 0, 0 ;
-9.596, -9.6, 0, 5.147e-12, 0, 0, 0 ;
-9.596, -9.4, 0, 6.452e-12, 0, 0, 0 ;
-9.596, -9.2, 0, 8.05e-12, 0, 0, 0 ;
-9.596, -9, 0, 9.996e-12, 0, 0, 0 ;
-9.596, -8.8, 0, 1.235e-11, 0, 0, 0 ;
-9.596, -8.6, 0, 1.519e-11, 0, 0, 0 ;
-9.596, -8.4, 0, 1.86e-11, 0, 0, 0 ;
-9.596, -8.2, 0, 2.266e-11, 0, 0, 0 ;
-9.596, -8, 0, 2.747e-11, 0, 0, 0 ;
-9.596, -7.8, 0, 3.315e-11, 0, 0, 0 ;
-9.596, -7.6, 0, 3.982e-11, 0, 0, 0 ;
-9.596, -7.4, 0, 4.76e-11, 0, 0, 0 ;
-9.596, -7.2, 0, 5.662e-11, 0, 0, 0 ;
-9.596, -7, 0, 6.703e-11, 0, 0, 0 ;
-9.596, -6.8, 0, 7.899e-11, 0, 0, 0 ;
-9.596, -6.6, 0, 9.263e-11, 0, 0, 0 ;
