% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 3.432e-14, 0, 0, 0 ;
-10, -9.8, 0, 4.344e-14, 0, 0, 0 ;
-10, -9.6, 0, 5.471e-14, 0, 0, 0 ;
-10, -9.4, 0, 6.859e-14, 0, 0, 0 ;
-10, -9.2, 0, 8.558e-14, 0, 0, 0 ;
-10, -9, 0, 1.063e-13, 0, 0, 0 ;
-10, -8.8, 0, 1.313e-13, 0, 0, 0 ;
-10, -8.6, 0, 1.615e-13, 0, 0, 0 ;
-10, -8.4, 0, 1.977e-13, 0, 0, 0 ;
-10, -8.2, 0, 2.409e-13, 0, 0, 0 ;
-10, -8, 0, 2.922e-13, 0, 0, 0 ;
-10, -7.8, 0, 3.526e-13, 0, 0, 0 ;
-10, -7.6, 0, 4.236e-13, 0, 0, 0 ;
-10, -7.4, 0, 5.064e-13, 0, 0, 0 ;
-10, -7.2, 0, 6.026e-13, 0, 0, 0 ;
-10, -7, 0, 7.136e-13, 0, 0, 0 ;
-10, -6.8, 0, 8.412e-13, 0, 0, 0 ;
-10, -6.6, 0, 9.87e-13, 0, 0, 0 ;
-10, -6.4, 0, 1.153e-12, 0, 0, 0 ;
-10, -6.2, 0, 1.34e-12, 0, 0, 0 ;
-10, -6, 0, 1.55e-12, 0, 0, 0 ;
-10, -5.8, 0, 1.786e-12, 0, 0, 0 ;
-10, -5.6, 0, 2.047e-12, 0, 0, 0 ;
-10, -5.4, 0, 2.336e-12, 0, 0, 0 ;
-10, -5.2, 0, 2.655e-12, 0, 0, 0 ;
-10, -5, 0, 3.002e-12, 0, 0, 0 ;
-10, -4.8, 0, 3.38e-12, 0, 0, 0 ;
-10, -4.6, 0, 3.789e-12, 0, 0, 0 ;
-10, -4.4, 0, 4.228e-12, 0, 0, 0 ;
-10, -4.2, 0, 4.697e-12, 0, 0, 0 ;
-10, -4, 0, 5.195e-12, 0, 0, 0 ;
-10, -3.8, 0, 5.72e-12, 0, 0, 0 ;
-10, -3.6, 0, 6.271e-12, 0, 0, 0 ;
-10, -3.4, 0, 6.844e-12, 0, 0, 0 ;
-10, -3.2, 0, 7.435e-12, 0, 0, 0 ;
-10, -3, 0, 8.041e-12, 0, 0, 0 ;
-10, -2.8, 0, 8.657e-12, 0, 0, 0 ;
-10, -2.6, 0, 9.277e-12, 0, 0, 0 ;
-10, -2.4, 0, 9.895e-12, 0, 0, 0 ;
-10, -2.2, 0, 1.05e-11, 0, 0, 0 ;
-10, -2, 0, 1.11e-11, 0, 0, 0 ;
-10, -1.8, 0, 1.167e-11, 0, 0, 0 ;
-10, -1.6, 0, 1.22e-11, 0, 0, 0 ;
-10, -1.4, 0, 1.27e-11, 0, 0, 0 ;
-10, -1.2, 0, 1.315e-11, 0, 0, 0 ;
-10, -1, 0, 1.354e-11, 0, 0, 0 ;
-10, -0.8, 0, 1.388e-11, 0, 0, 0 ;
-10, -0.6, 0, 1.414e-11, 0, 0, 0 ;
-10, -0.4, 0, 1.434e-11, 0, 0, 0 ;
-10, -0.2, 0, 1.445e-11, 0, 0, 0 ;
-10, 0, 0, 1.449e-11, -0, 0, 0 ;
-10, 0.2, 0, 1.445e-11, -0, 0, 0 ;
-10, 0.4, 0, 1.434e-11, -0, 0, 0 ;
-10, 0.6, 0, 1.414e-11, -0, 0, 0 ;
-10, 0.8, 0, 1.388e-11, -0, 0, 0 ;
-10, 1, 0, 1.354e-11, -0, 0, 0 ;
-10, 1.2, 0, 1.315e-11, -0, 0, 0 ;
-10, 1.4, 0, 1.27e-11, -0, 0, 0 ;
-10, 1.6, 0, 1.22e-11, -0, 0, 0 ;
-10, 1.8, 0, 1.167e-11, -0, 0, 0 ;
-10, 2, 0, 1.11e-11, -0, 0, 0 ;
-10, 2.2, 0, 1.05e-11, -0, 0, 0 ;
-10, 2.4, 0, 9.895e-12, -0, 0, 0 ;
-10, 2.6, 0, 9.277e-12, -0, 0, 0 ;
-10, 2.8, 0, 8.657e-12, -0, 0, 0 ;
-10, 3, 0, 8.041e-12, -0, 0, 0 ;
-10, 3.2, 0, 7.435e-12, -0, 0, 0 ;
-10, 3.4, 0, 6.844e-12, -0, 0, 0 ;
-10, 3.6, 0, 6.271e-12, -0, 0, 0 ;
-10, 3.8, 0, 5.72e-12, -0, 0, 0 ;
-10, 4, 0, 5.195e-12, -0, 0, 0 ;
-10, 4.2, 0, 4.697e-12, -0, 0, 0 ;
-10, 4.4, 0, 4.228e-12, -0, 0, 0 ;
-10, 4.6, 0, 3.789e-12, -0, 0, 0 ;
-10, 4.8, 0, 3.38e-12, -0, 0, 0 ;
-10, 5, 0, 3.002e-12, -0, 0, 0 ;
-10, 5.2, 0, 2.655e-12, -0, 0, 0 ;
-10, 5.4, 0, 2.336e-12, -0, 0, 0 ;
-10, 5.6, 0, 2.047e-12, -0, 0, 0 ;
-10, 5.8, 0, 1.786e-12, -0, 0, 0 ;
-10, 6, 0, 1.55e-12, -0, 0, 0 ;
