% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 1.193e-13, 5.977e-13, -5.945e-13, -7.904e-36 ;
-10, -9.8, 0, 1.562e-13, 7.67e-13, -7.785e-13, -1.532e-35 ;
-10, -9.6, 0, 2.034e-13, 9.781e-13, -1.014e-12, -2.923e-35 ;
-10, -9.4, 0, 2.632e-13, 1.24e-12, -1.312e-12, -5.489e-35 ;
-10, -9.2, 0, 3.387e-13, 1.561e-12, -1.689e-12, -1.014e-34 ;
-10, -9, 0, 4.334e-13, 1.954e-12, -2.161e-12, -1.844e-34 ;
-10, -8.8, 0, 5.513e-13, 2.431e-12, -2.749e-12, -3.299e-34 ;
-10, -8.6, 0, 6.974e-13, 3.005e-12, -3.477e-12, -5.803e-34 ;
-10, -8.4, 0, 8.772e-13, 3.691e-12, -4.374e-12, -1.004e-33 ;
-10, -8.2, 0, 1.097e-12, 4.507e-12, -5.471e-12, -1.708e-33 ;
-10, -8, 0, 1.365e-12, 5.468e-12, -6.805e-12, -2.856e-33 ;
-10, -7.8, 0, 1.688e-12, 6.594e-12, -8.417e-12, -4.692e-33 ;
-10, -7.6, 0, 2.076e-12, 7.902e-12, -1.035e-11, -7.571e-33 ;
-10, -7.4, 0, 2.539e-12, 9.41e-12, -1.266e-11, -1.199e-32 ;
-10, -7.2, 0, 3.088e-12, 1.114e-11, -1.54e-11, -1.864e-32 ;
-10, -7, 0, 3.735e-12, 1.31e-11, -1.863e-11, -2.84e-32 ;
-10, -6.8, 0, 4.494e-12, 1.531e-11, -2.242e-11, -4.238e-32 ;
-10, -6.6, 0, 5.376e-12, 1.777e-11, -2.682e-11, -6.186e-32 ;
-10, -6.4, 0, 6.397e-12, 2.051e-11, -3.192e-11, -8.821e-32 ;
-10, -6.2, 0, 7.57e-12, 2.351e-11, -3.777e-11, -1.226e-31 ;
-10, -6, 0, 8.909e-12, 2.678e-11, -4.446e-11, -1.655e-31 ;
-10, -5.8, 0, 1.043e-11, 3.03e-11, -5.204e-11, -2.163e-31 ;
-10, -5.6, 0, 1.214e-11, 3.406e-11, -6.059e-11, -2.718e-31 ;
-10, -5.4, 0, 1.406e-11, 3.803e-11, -7.016e-11, -3.249e-31 ;
-10, -5.2, 0, 1.619e-11, 4.217e-11, -8.08e-11, -3.627e-31 ;
-10, -5, 0, 1.855e-11, 4.645e-11, -9.256e-11, -3.633e-31 ;
-10, -4.8, 0, 2.113e-11, 5.081e-11, -1.055e-10, -2.934e-31 ;
-10, -4.6, 0, 2.395e-11, 5.518e-11, -1.195e-10, -1.036e-31 ;
-10, -4.4, 0, 2.699e-11, 5.949e-11, -1.347e-10, 2.752e-31 ;
-10, -4.2, 0, 3.026e-11, 6.367e-11, -1.51e-10, 9.357e-31 ;
-10, -4, 0, 3.375e-11, 6.762e-11, -1.684e-10, 1.998e-30 ;
-10, -3.8, 0, 3.743e-11, 7.126e-11, -1.868e-10, 3.613e-30 ;
-10, -3.6, 0, 4.13e-11, 7.448e-11, -2.061e-10, 5.961e-30 ;
