% x, y, z, rho, j_x, j_y, j_z ;
-10, -10, 0, 4.053e-12, 1.01e-28, 5.049e-29, -2.026e-11 ;
-10, -9.8, 0, 5.129e-12, -5.049e-28, -4.544e-28, -2.513e-11 ;
-10, -9.6, 0, 6.461e-12, -1.048e-33, -1.01e-28, -3.101e-11 ;
-10, -9.4, 0, 8.099e-12, 6.058e-28, 8.078e-28, -3.807e-11 ;
-10, -9.2, 0, 1.011e-11, -2.02e-28, 0, -4.648e-11 ;
-10, -9, 0, 1.255e-11, 2.019e-28, 1.01e-28, -5.647e-11 ;
-10, -8.8, 0, 1.551e-11, -7.654e-33, -4.039e-28, -6.823e-11 ;
-10, -8.6, 0, 1.907e-11, 8.078e-28, 6.058e-28, -8.202e-11 ;
-10, -8.4, 0, 2.335e-11, 4.039e-28, 6.058e-28, -9.806e-11 ;
-10, -8.2, 0, 2.845e-11, 1.616e-27, 8.078e-28, -1.166e-10 ;
-10, -8, 0, 3.449e-11, 4.037e-28, 0, -1.38e-10 ;
-10, -7.8, 0, 4.162e-11, -8.079e-28, 8.078e-28, -1.623e-10 ;
-10, -7.6, 0, 4.999e-11, -8.079e-28, -4.039e-28, -1.9e-10 ;
-10, -7.4, 0, 5.976e-11, -2.424e-27, -1.212e-27, -2.211e-10 ;
-10, -7.2, 0, 7.109e-11, -3.962e-31, -8.078e-28, -2.559e-10 ;
-10, -7, 0, 8.417e-11, 8.07e-28, -8.078e-28, -2.946e-10 ;
-10, -6.8, 0, 9.919e-11, -2.424e-27, -2.423e-27, -3.372e-10 ;
-10, -6.6, 0, 1.163e-10, 1.614e-27, -1.616e-27, -3.839e-10 ;
-10, -6.4, 0, 1.358e-10, -3.234e-27, -1.616e-27, -4.345e-10 ;
-10, -6.2, 0, 1.577e-10, 6.458e-27, 1.616e-27, -4.89e-10 ;
-10, -6, 0, 1.824e-10, 6.458e-27, 6.462e-27, -5.471e-10 ;
-10, -5.8, 0, 2.098e-10, -1.624e-27, 0, -6.085e-10 ;
-10, -5.6, 0, 2.403e-10, 1.614e-26, 9.694e-27, -6.728e-10 ;
-10, -5.4, 0, 2.739e-10, -6.463e-27, 0, -7.394e-10 ;
-10, -5.2, 0, 3.106e-10, -1.617e-26, -3.231e-27, -8.077e-10 ;
-10, -5, 0, 3.507e-10, 9.667e-27, 9.694e-27, -8.767e-10 ;
-10, -4.8, 0, 3.94e-10, 6.412e-27, 9.694e-27, -9.456e-10 ;
-10, -4.6, 0, 4.405e-10, 6.435e-27, 3.231e-27, -1.013e-09 ;
-10, -4.4, 0, 4.902e-10, -7.739e-29, 3.231e-27, -1.079e-09 ;
-10, -4.2, 0, 5.43e-10, -3.359e-27, 0, -1.14e-09 ;
-10, -4, 0, 5.985e-10, -1.029e-28, 6.462e-27, -1.197e-09 ;
